Date	Opponent	Site	Result	Attendance
September 23, 1967	Oklahoma State	War Memorial Stadium • Little Rock, AR	L6–7	53,000
September 30, 1967	Tulsa	Razorback Stadium • Fayetteville, AR	L12–14	40,000
October 7, 1967	TCU	Razorback Stadium • Fayetteville, AR	W26–0	40,000
October 14, 1967	at Baylor	Baylor Stadium • Waco, TX	T10–10	32,000
October 21, 1967	Texas	War Memorial Stadium • Little Rock, AR	L12–21	53,000
October 28, 1967	Kansas State	War Memorial Stadium • Little Rock, AR	W28–7	40,000
November 4, 1967	Texas A&M	Razorback Stadium • Fayetteville, AR ( Rivalry )	L21–33	41,100
November 11, 1967	at Rice	Rice Stadium • Houston, TX	W23–9	34,000
November 18, 1967	at SMU	Ownby Stadium • Dallas, TX	W35–17	25,000
November 25, 1967	Texas Tech	War Memorial Stadium • Little Rock, AR	L27–31	40,000
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
