Date	Visitor	Score	Home	Leading scorer	Attendance	Record
November 2, 2007	Wizards	103–83	Celtics	Gilbert Arenas (21)	18,624	0–2
November 3, 2007	Magic	94–82	Wizards	Caron Butler (23)	20,173	0–3
November 8, 2007	Wizards	85–87	Nets	Antawn Jamison (24)	13,267	0–4
November 9, 2007	Nuggets	118–92	Wizards	Caron Butler (21)	20,173	0–5
November 11, 2007	Wizards	101–90	Hawks	Caron Butler (24)	13,172	1–5
November 14, 2007	Pacers	90–103	Wizards	Gilbert Arenas (30)	12,477	2–5
November 16, 2007	Wizards	105–89	Timberwolves	Caron Butler (29)	11,783	3–5
November 17, 2007	Trail Blazers	109–90	Wizards	Antawn Jamison (30)	20,173	4–5
November 20, 2007	Sixers	101–116	Wizards	Andray Blatche (26)	12,299	5–5
November 21, 2007	Wizards	114–111	Bobcats	Caron Butler (39)	12,193	6–5
November 23, 2007	Warriors	123–115	Wizards	Antawn Jamison (30)	20,173	6–6
November 24, 2007	Wizards	118–124	Grizzlies	Antawn Jamison (41)	13,579	6–7
November 26, 2007	Wizards	110–98	Mavericks	Caron Butler (35)	19,556	7–7
November 28, 2007	Wizards	94–109	Spurs	Brendan Haywood (19)	18,386	7–8
November 30, 2007	Wizards	84–85	Sixers	Caron Butler (20)	10,718	7–9
