Dibrugarh	Kanyakumari	Vivek Express /15905/15906	Indian Railways	4286km	55	Weekly	82.30 hrs(~3.5 days)
Jammutawi	Kanyakumari	Himsagar Express /6318	Indian Railways	3715km	71	Weekly	69 hrs 40 min(~3 days)
Mangalore	Jammu	Navyug Express /16687	Indian Railways	3609km	61	Weekly	68 hrs(~3 days)
Yeswanthpur ( Bangalore )	Dibrugarh	Dibrugarh Express/15901	Indian Railways	3578km	70	Weekly	68 hrs (~3 days)
Tirunelveli	Jammu	TEN JAMMU Express/16787	Indian Railways	3561km	70	Biweekly	70 hrs(~3 days)
Thiruvananthapuram	Guwahati	Guwahati Express/12515	Indian Railways	3552km	50	Weekly	65 hrs
Dehradun	Kochuveli Railway Station ( Thiruvananthapuram )	DDN KCVL SUP Express/12288	Indian Railways	3459km	25	Weekly	61 hrs 10 mins
Ernakulam	Barauni	Raptisagar Express/12522	Indian Railways	3441km	61	Weekly	62 hrs(~3 days)
Chandigarh	Kochuveli Railway Station ( Thiruvananthapuram )	Keraka Sampark Kranti Express/12218	Indian Railways	3415km	21	Weekly	57 hrs 35 mins
Guwahati	Ernakulam	Guwahati - Ernakulam Express/12508	Indian Railways	3337km	43	weekly	59 hrs 45 mins
Amritsar	Kochuveli Railway Station ( Thiruvananthapuram )	Amritsar Kochuveli Express/12484	Indian Railways	3296km	22	Weekly	57 hrs 10 min(~2.5 days)
Okha	Rameswaram	Rameswaram-Okha Express/16733	Indian Railways	3256km	40	weekly	65 hrs 00 mins
Thiruvananthapuram	Gorakhpur	Raptisagar Express/12512	Indian Railways	3248km	60	Tri-weekly	57hrs 5 mins
Okha	Guwahati	Dwarka Express/15636	Indian Railways	3213km	41	weekly	65 hrs 35 mins
Dwarka	Guwahati	Dwarka Express/15636	Indian Railways	3213km	41	weekly	65 hrs 35 mins
Gandhidham	Kamakhya	GIMB Kamakhya Exp /15667	Indian Railways	3111km	33	Weekly	64 hrs 45 min(~4 days)
Dehradun	Madurai	Dehradun-Madurai SF Express /12688	Indian Railways	3086km	27	Weekly	53 hrs 25 min(~3 days)
Chandigarh	Madurai	Chandigarh-Chennai-Madurai LINK Express /22688	Indian Railways	3082km	26	Weekly	53 hrs 00 min(~3 days)
Thiruvananthapuram	New Delhi	Thiruvananthapuram-New Delhi Kerala Express /12625	Indian Railways	3035km	42	Daily	50 hrs 25 mins(2 days)
Dibrugarh	Chennai	Dibrugarh-Chennai Express/15930	Indian Railways	3028km	39	Weekly	61.20 hrs(2.5 days)
Patna	Ernakulam	Patna Ernakulam Exp/16360	Indian Railways	2984km	41	Weekly	54h 30m (~2. days+)
Kanyakumari	New Delhi	Thirukkural Express/12641	Indian Railways	2918km	25	Bi-Weekly	46 hrs 45 mins(>2 days)
Dibrugarh	Amritsar	Dibrugarh-Amritsar Express/15933	Indian Railways	2853km	33	Weekly	61.50 hrs(2.5 days)
Jammu	Chennai	Andaman Express/16032	Indian Railways	2798km	77	Tri-Weekly	58 hrs 25 min(~2.5 days)
Patna	Bangalore	Sanghmitra Exp/12296	Indian Railways	2727km	35	Daily	48 hrs 45 mins
Bikaner	Kochuveli Railway Station ( Thiruvananthapuram )	Bikaner Kochuveli Express/16311	Indian Railways	2706km	39	Weekly	54 hrs 35 mins(>2 days)
Madurai	New Delhi	Tamil Nadu Sampark Kranti/12651	Indian Railways	2672km	17	Bi-Weekly	42 hrs 5 mins(<2 days)
Gandhidham	Nagercoil	Gandhidham Exp/16336	Indian Railways	2649km	44	Daily	48 hrs 50 mins (~2 days)
Dibrugarh	Chandigarh	Dibrugarh-Chandigarh Express/15903	Indian Railways	2597km	31	Weekly	51.50 hrs(>2 days)
Amritsar	Visakhapatnam	Hirakud Express/18508	Indian Railways	2579km	46	Tri-Weekly	48 hrs 5 min(2 days)
Guwahati	Lalgarh Junction (Sujangarh, Rajasthan)	Awadh - Assam Express/15609	Indian Railways	2557km	70	Daily	56 hrs 15 mins
Guwahati	Secunderabad Railway Station	Guwahati-Secunderabad Express/12514	Indian Railways	2553.3km	30	Weekly	45 hrs 50 mins (3 days)
Bikaner	Coimbatore	Bikaner-Coimbatore Exp/22475	Indian Railways	2486km	32	Weekly	45 hrs 5 mins (~2 days)
Barmer	Guwahati	Barmer-Guwahati Exp/15631	Indian Railways	2453km	29	Bi-weekly	48 hrs 35 mins (~2 days)
Puri	Jodhpur	Puri-Jodhpur Exp/18473	Indian Railways	2434km	39	Weekly	46 hrs 30 mins (~2 days)
Haridwar	Puri	Kalinga Utkal Exp/18478	Indian Railways	2378km	70	Daily	49 hrs (~2 days)
Jammu Tavi	Guwahati	Lohit Express /15651	Indian Railways	2343km	40	Weekly	47 hrs 15 min(~3 days)
Asansol	Bhavnagar	Parasnath Exp/12942	Indian Railways	2321km	27	Weekly	39 hrs 45 min (~1.6 days)
Gandhidham	Puri	Gandhidham-Puri SF Express /12993	Indian Railways	2286km	25	Weekly	41 hrs 30 min(~3 days)
Korba	Thiruvananthapuram	Korba-Thiruvananthapuram Exp/16327	Indian Railways	2276km	46	Bi-weekly	41 hrs (1.7 days)
