-	Driver	Seasons	Entries	Podiums	Percentage
1	Dorino Serafini	1950	1	1	100.00%
2	Luigi Fagioli	1950 – 1951	7	6	85.71%
3	Juan Manuel Fangio	1950 – 1951 , 1953 – 1958	52	35	67.31%
4	Nino Farina	1950 – 1955	34	20	58.82%
5	José Froilán González	1950 – 1957 , 1960	27	15	55.56%
6	Alain Prost	1980 – 1991 , 1993	202	106	52.48%
7	Alberto Ascari	1950 – 1955	33	17	51.52%
8	Sebastian Vettel	2007 - 2013	118	60	50.85%
9	Michael Schumacher	1991 – 2006 , 2010 – 2012	308	155	50.32%
10	Sam Hanks	1950 – 1957	8	4	50.00%
10	Mauri Rose	1950 – 1951	2	1	50.00%
