Pick #	Player	Position	Nationality	NHL team	College/junior/club team
49	Andre St. Laurent	Centre	Canada	New York Islanders	Montreal Junior Canadiens (QMJHL)
50	Ron Serafini	Defence	United States	California Golden Seals	St. Catharines Black Hawks (OHA)
51	Keith Mackie	Defence	United Kingdom Canada	Vancouver Canucks	Edmonton Oil Kings (WCHL)
52	Frank Rochon	Left Wing	Canada	Toronto Maple Leafs	Sherbrooke Castors (QMJHL)
53	Dean Talafous	Centre	United States	Atlanta Flames	University of Wisconsin (NCAA)
54	Jim McCrimmon	Defence	Canada	Los Angeles Kings	Medicine Hat Tigers (WCHL)
55	Dennis Owchar	Defence	Canada	Pittsburgh Penguins	Toronto Marlboros (OHA)
56	Alan Hangsleben	Defence	United States	Montreal Canadiens	University of North Dakota (NCAA)
57	Tom Colley	Centre	Canada	Minnesota North Stars	Sudbury Wolves (OHA)
58	Dale Cook	Left Wing	Canada	Philadelphia Flyers	Victoria Cougars (WCHL)
59	Mike Korney	Defence	Canada	Detroit Red Wings	Winnipeg Jets (WCHL)
60	Yvon Dupuis	Right Wing	Canada	Buffalo Sabres	Quebec Remparts (QMJHL)
61	Dave Elliott	Left Wing	Canada	Chicago Black Hawks	Winnipeg Jets (WCHL)
62	Brian Molvik	Defence	Canada	New York Rangers	Calgary Centennials (WCHL)
63	Steve Langdon	Left Wing	Canada	Boston Bruins	London Knights (OHA)
64	Richard Latulippe	Centre	Canada	Montreal Canadiens	Quebec Remparts (QMJHL)
