Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	25–12	Gerald Harris	Decision (unanimous)	WSOF 4	3	5:00	Ontario, California , United States
Loss	25–11	Gunnar Nelson	Decision (unanimous)	UFC on Fuel TV: Barao vs. McDonald	3	5:00	London, England , United Kingdom
Win	25–10	Justin Guthrie	Submission (inverted heel hook)	TFC 23	1	1:34	Fort Riley, Kansas , United States
Win	24–10	Leonardo Pecanha	KO (punches)	TFC 21	1	1:48	Kansas City, Kansas , United States
Loss	23–10	Demian Maia	Decision (unanimous)	UFC 136	3	5:00	Houston, Texas , United States
Loss	23–9	Brian Stann	KO (punches)	UFC 130	2	4:29	Las Vegas, Nevada , United States
Win	23–8	Kazuo Misaki	TKO (corner stoppage)	World Victory Road Presents: Sengoku 14	5	4:31	Tokyo , Japan
Win	22–8	Mamed Khalidov	Decision (split)	World Victory Road Presents: Sengoku 12	5	5:00	Tokyo , Japan
Loss	21–8	Mamed Khalidov	KO (punches)	World Victory Road Presents: Sengoku 11	1	2:45	Tokyo , Japan
Win	21–7	Kazuo Misaki	Technical Submission (rear-naked choke)	World Victory Road Presents: Sengoku no Ran 2009	5	3:26	Saitama , Japan
Win	20–7	Kazuhiro Nakamura	KO (punches)	World Victory Road Presents: Sengoku 6	3	0:49	Saitama , Japan
Win	19–7	Siyar Bahadurzada	Submission (heel hook)	World Victory Road Presents: Sengoku 6	1	1:10	Saitama , Japan
Win	18–7	Logan Clark	Submission (arm-triangle choke)	World Victory Road Presents: Sengoku 5	2	3:55	Tokyo , Japan
Win	17–7	Yuki Sasaki	Submission (armbar)	World Victory Road Presents: Sengoku 2	3	2:10	Tokyo , Japan
Win	16–7	Trevor Prangley	TKO (knee to the body)	Strikeforce: Four Men Enter, One Man Survives	1	2:31	San Jose, California , United States
Win	15–7	Sean Salmon	KO (flying knee)	Strikeforce: Four Men Enter, One Man Survives	1	0:24	San Jose, California , United States
Win	14–7	Jeremy Horn	Submission (triangle choke)	Art of War 3: Monson vs. Rizzo	1	3:02	Dallas, Texas , United States
Win	13–7	Andrei Semenov	TKO (punches)	Bodog Fight: Clash of the Nations	2	4:48	St. Petersburg , Russia
Loss	12–7	Alan Belcher	KO (head kick)	UFC Fight Night: Sanchez vs Riggs	3	2:45	San Diego, California , United States
Loss	12–6	Chris Leben	KO (punch)	UFC Fight Night 6	2	0:35	Las Vegas, Nevada , United States
Win	12–5	Justin Levens	KO (knee and punches)	UFC Ultimate Fight Night 5	1	2:13	Las Vegas, Nevada , United States
Win	11–5	Thomas Russell	Submission (armbar)	Fightfest 3	1	1:59	Youngstown, Ohio , United States
Win	10–5	Sydney Machado	TKO (punches)	Costa Rica: Fights 3	2	0:49	Costa Rica
Win	9–5	Leopoldo Serao	TKO (punches)	Full Throttle 5	1	0:43	Georgia , United States
Loss	8–5	Joey Villaseñor	Decision (unanimous)	KOTC 58: Prime Time	3	5:00	San Jacinto, California , United States
Loss	8–4	Jordan Radev	Decision (unanimous)	It's Showtime: Amsterdam Arena	2	5:00	Amsterdam , Holland
Win	8–3	Chris Liguori	Submission (rear-naked choke)	Euphoria: USA vs World	1	3:27	Atlantic City, New Jersey , United States
Loss	7–3	Diego Sanchez	Decision (unanimous)	KOTC 36: Unfinished Business	3	5:00	San Jacinto, California , United States
Win	7–2	Takuya Wada	Submission (armbar)	Absolute Fighting Championships 7	1	1:52	Fort Lauderdale, Florida , United States
Win	6–2	John Cronk	Submission (armbar)	KOTC 32: Bringing Heat	2	0:54	Miami, Florida , United States
Loss	5–2	Keith Wisniewski	KO (punches)	Absolute Fighting Championships 6	3	2:14	Fort Lauderdale, Florida , United States
Win	5–1	LaVerne Clark	Submission (triangle choke)	Hardcore Fighting Championships 2	1	2:17	Revere, Massachusetts , United States
Win	4–1	Derrick Noble	Decision (unanimous)	Absolute Fighting Championships 5	2	5:00	Fort Lauderdale, Florida , United States
Loss	3–1	Manny Gamburyan	KO (punch)	KOTC 27: Aftermath	1	0:21	San Jacinto, California , United States
Win	3–0	Justin Wieman	Submission (triangle choke)	Absolute Fighting Championships 4	1	4:11	Fort Lauderdale, Florida , United States
Win	2–0	Jay Martin	KO (punches)	HOOKnSHOOT: Boot Camp 1.1	1	0:14	Evansville, Indiana , United States
Win	1–0	Jose Rodriguez	Submission (knees)	Reality Fighting 2	1	1:16	Wildwood, New Jersey , United States
