Season	Games	Won	Lost	Tied	Points	Pct %	Goals For	Goals Against	Standing
1947-48	36	19	17	0	38	0.528	137	155	6th OHA
1948-49	48	25	20	3	53	0.552	191	198	4th OHA
1949-50	48	27	17	4	58	0.604	269	211	3rd OHA
1950-51	54	23	24	7	53	0.491	200	192	6th OHA
1951-52	54	30	23	1	61	0.565	249	229	5th OHA
1952-53	56	31	20	5	67	0.598	219	234	4th OHA
1953-54	59	42	15	2	86	0.729	308	211	1st OHA
1954-55	49	32	15	2	66	0.673	260	176	1st OHA
1955-56	48	28	17	3	59	0.615	219	197	1st OHA
1956-57	52	25	25	2	52	0.500	184	193	3rd OHA
1957-58	52	32	14	6	70	0.673	246	174	1st OHA
1958-59	54	40	11	3	84	0.769	257	175	1st OHA
1959-60	48	25	19	4	54	0.562	209	191	2nd OHA
1960-61	48	18	24	6	42	0.438	167	204	5th OHA
