Place	Player	Country	Score	To par
1	Ben Hogan	United States	67-72-73=212	–4
2	Sam Snead	United States	72-69-72=213	–3
T3	Jimmy Demaret	United States	71-76-71=218	+2
T3	George Fazio	United States	70-71-77=218	+2
T3	Jay Hebert	United States	72-72-74=218	+2
T6	Fred Haas	United States	74-73-72=219	+3
T6	Dick Metz	United States	75-70-74=219	+3
T8	Jack Burke, Jr.	United States	76-73-72=221	+5
T8	Ted Kroll	United States	76-71-74=221	+5
T10	Dutch Harrison	United States	77-75-70=222	+6
T10	Bobby Locke	South Africa	78-70-74=222	+6
T10	Frank Souchak (a)	United States	70-76-76=222	+6
