Rank	Stadium	Total Capacity	Seating Capacity	Location
1	Aviva Stadium	51,700	51,700	Ballsbridge , Dublin
2	Thomond Park	26,500	15,100	Limerick , County Limerick
3	Dalymount Park	10,000 (4,300 Safe)	7,947	Phibsboro , Dublin
4	Tolka Park	9,680 (6,000 Safe)	9,000	Drumcondra , Dublin
5	Tallaght Stadium	5,947	5,947	Tallaght , Dublin
6	Turner's Cross	7,485	7,485	Cork , County Cork
7	Carlisle Grounds	7,000	2,000	Bray , County Wicklow
8	City Calling Stadium	6,850	6,850	Longford , County Longford
9	St. Colman's Park	6,000	1,350	Cobh , County Cork
10	Finn Park	6,000	400	Ballybofey , County Donegal
11	The Showgrounds	5,500	4,000	Sligo , County Sligo
12	Richmond Park	5,340	2,800	Inchicore , Dublin
13	Eamonn Deacy Park	5,000	3,300	Galway , County Galway
14	Oriel Park	4,500	3,000	Dundalk , County Louth
15	Waterford Regional Sports Centre	3,100	3,100	Waterford , County Waterford
16	Buckley Park	3,000	1,850	Kilkenny , County Kilkenny
17	UCD Bowl	3,000	1,500	Belfield , Dublin
18	Mardyke Arena	3,000	1,000	Cork , County Cork
19	Station Road	2,500	850	Newbridge , County Kildare
20	Jackman Park	2,450	261	Limerick , County Limerick
21	Athlone Town Stadium	2,100	2,100	Athlone , County Westmeath
22	United Park	2,000	1,500	Drogheda , County Louth
23	Gortakeegan	2,000	620	Monaghan , County Monaghan
24	Ferrycarrig Park	2,000	609	Crossabeg , County Wexford
25	Drom Clubhouse	2,000	0	Drum East, County Galway
26	Celtic Park	1,500	550	Castlebar , County Mayo
27	Leah Victoria Park	1,500	0	Tullamore , County Offaly
28	Hawkins Lane	1,000	75	Tullow , County Carlow
29	Cahermoneen	1,000	0	Tralee , County Kerry
30	Irishtown Stadium	1,000	0	Ringsend , Dublin
31	Fahy's Field	1,000	0	Galway , County Galway
