Name	Nationality	Position	Appearances	Starts	Minutes	Goals
Lori Chalupny Category:Articles with hCards	United States	MF	1	1	90	0
Amanda Cinalli Category:Articles with hCards	United States	FW	1	1	90	0
Niki Cross Category:Articles with hCards	United States	DF	1	0	30	0
Tina Ellertson Category:Articles with hCards	United States	DF	1	1	90	0
Kendall Fletcher Category:Articles with hCards	United States	DF	1	1	90	0
Stephanie Logterman Category:Articles with hCards	United States	DF	1	0	26	0
Kia McNeill Category:Articles with hCards	United States	DF	1	1	64	0
Ashlee Pistorius Category:Articles with hCards	United States	FW	1	0	19	0
Hope Solo Category:Articles with hCards	United States	GK	1	1	90	0
Melissa Tancredi Category:Articles with hCards	Canada	FW	1	1	90	0
Sarah Walsh Category:Articles with hCards	Australia	FW	1	1	90	0
Elise Weber Category:Articles with hCards	United States	DF	1	1	90	0
Christie Welsh Category:Articles with hCards	United States	FW	1	1	71	0
