Team	Location	Venue	Capacity	Position in 1999
BATE	Borisov	City Stadium, Borisov	5,500	1
Slavia	Mozyr	Yunost, Mozyr	5,500	2
Gomel	Gomel	Central, Gomel	11,800	3
Dnepr-Transmash	Mogilev	Spartak, Mogilev	11,200	4
Shakhtyor	Soligorsk	Stroitel	5,000	5
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	6
Dinamo Brest	Brest	Dinamo, Brest	10,080	7
Belshina	Bobruisk	Spartak, Bobruisk	3,550	8
Neman-Belcard	Grodno	Neman	6,300	9
Torpedo-MAZ	Minsk	Torpedo, Minsk	5,200	10
Lokomotiv-96	Vitebsk	Central, Vitebsk	8,300	11
Naftan-Devon	Novopolotsk	Atlant	6,500	12
Lida	Lida	City Stadium, Lida	4,000	13
Torpedo-Kadino	Mogilev	Torpedo, Mogilev	3,500	14
Kommunalnik	Slonim	Yunost, Slonim	3,000	First league , 1
Vedrich-97	Rechytsa	Central, Rechytsa	3,550	First league , 2
