Rank	Games	Player	Nationality	Career Span
1	651	Graeme Hick	England	1983–2008
2	613	Graham Gooch	England	1973–1997
3	594	Wasim Akram	Pakistan	1984–2003
4	557	Sanath Jayasuriya	Sri Lanka	1989–2011
5	551	Mike Gatting	England	1975–1998
5	551	Sachin Tendulkar	India	1989–
7	536	John Emburey	England	1975–2000
8	525	Kim Barnett	England	1979–2005
9	505	Neil Fairbrother	England	1982–2002
10	504	Alec Stewart	England	1981–2002
Source: Cricinfo. Last updated: 5 December 2012.	Source: Cricinfo. Last updated: 5 December 2012.	Source: Cricinfo. Last updated: 5 December 2012.	Source: Cricinfo. Last updated: 5 December 2012.	Source: Cricinfo. Last updated: 5 December 2012.
