Name	Nationality	Races won	Races ridden	Win average
Patrick Sercu	Belgian	88	223	0.3946
Danny Clark	Australian	74	235	0,3149
René Pijnen	Dutch	72	233	0,3090
Peter Post	Dutch	65	155	0,4194
Bruno Risi	Swiss	61	178	0,3427
Rik van Steenbergen	Belgian	40	134	0,2985
William Peden	Canadian	38	127	0,2992
Etienne De Wilde	Belgian	38	197	0,1929
Kurt Betschart	Swiss	37	142	0,2606
Klaus Bugdahl	German	37	229	0,1616
Gustav Kilian	German	34	90	0,3778
Albert Fritz	German	34	198	0,1717
Fritz Pfenninger	Swiss	33	181	0,1823
Heinz Vopel	German	32	74	0,4324
Piet van Kempen	Dutch	32	110	0,2909
Dietrich Thurau	German	29	97	0,2990
Silvio Martinello	Italian	28	97	0,2887
Franco Marvulli	Swiss	23	69	0,3333
Dieter Kemper	German	26	165	0,1576
Emile Severeyns	Belgian	25	151	0,1656
Andreas Kappes	German	24	116	0,2069
Marco Villa	Italian	24	141	0,1702
Rudi Altig	German	23	79	0,2911
Ferdinando Terruzzi	Italian	23	121	0,1901
Tony Doyle	British	23	139	0,1655
Sigi Renz	German	23	159	0,1447
Alfred Letourneur	French	21	84	0,2500
Palle Lykke	Danish	21	122	0,1721
Urs Freuler	Swiss	21	139	0,1511
Gert Frank	Danish	20	143	0,1399
Gerrit Schulte	Dutch	19	73	0,2603
Reggie McNamara	American	19	117	0,1624
Eddy Merckx	Belgian	17	35	0,4857
Jan Pijnenburg	Dutch	17	50	0,3400
Gerard Debaets	Belgian	17	90	0,1889
Donald Allan	Australian	17	107	0,1589
Matthew Gilmore	Belgian	17	107	0,1589
Cecil Yates	American	16	57	0,2807
Sid Patterson	Australian	16	57	0,2807
Jean Roth	Swiss	16	85	0,1882
Reg Arnold	Australian	16	103	0,1553
Leo Duyndam	Dutch	16	143	0,1119
Wilfried Peffgen	German	16	188	0,0851
Francesco Moser	Italian	15	35	0,4285
Roman Hermann	Leichtenstinian	15	182	0,0824
Danny Stam	Dutch	15	86	0,1744
Scott McGrory	Australian	14	69	0,2029
Robert Bartko	German	14	50	0,2800
Armin von Büren	Swiss	13	58	0,2241
Jens Veggerby	Danish	13	89	0,1461
Erik Zabel	German	13	28	0,4643
Rik van Looy	Belgian	12	43	0,2791
Graeme Gilmore	Australian	12	100	0,1200
Iljo Keisse	Belgian	12	50	0,2400
Gregor Braun	German	11	44	0,2500
Günther Haritz	German	11	83	0,1325
Robert Slippens	Dutch	11	70	0,1571
Rolf Aldag	German	10	29	0,3448
Horst Oldenburg	German	10	100	0,1000
Lucien Gillen	Luxembourgeois	10	116	0,0862
Wolfgang Schulze	German	10	135	0,0741
