Week	Date	Opponent	Result	Attendance
1	September 13, 1999	at Denver Broncos	W 38–21	75,623
2	September 19, 1999	Arizona Cardinals	W 19–16	73,618
3	Bye	Bye	Bye	Bye
4	October 4, 1999	Buffalo Bills	L 23–18	74,073
5	October 10, 1999	at Indianapolis Colts	W 34–31	56,810
6	October 17, 1999	at New England Patriots	W 31–30	60,006
7	October 24, 1999	Philadelphia Eagles	W 16–13	73,975
8	October 31, 1999	at Oakland Raiders	W 16–9	61,556
9	November 7, 1999	Tennessee Titans	W 17–0	74,109
10	November 14, 1999	at Buffalo Bills	L 23–3	72,810
11	November 21, 1999	New England Patriots	W 27–17	74,295
12	November 25, 1999	at Dallas Cowboys	L 20–0	64,328
13	December 5, 1999	Indianapolis Colts	L 37–34	74,096
14	December 12, 1999	at New York Jets	L 28–20	78,246
15	December 19, 1999	San Diego Chargers	W 12–9	73,765
16	December 27, 1999	New York Jets	L 38–31	74,230
17	January 2, 2000	at Washington Redskins	L 21–10	78,106
