Rank	Movie	Year	Studio(s)	Lifetime India Distributor share
1	Chennai Express	2013	Red Chillies Entertainment	114,25,00,000
2	Ek Tha Tiger	2012	Yash Raj Films	106,00,00,000
3	3 Idiots	2009	Vinod Chopra Productions	99,02,00,000
4	Yeh Jawaani Hai Deewani	2013	Dharma Productions	91,00,00,000
5	Dabangg 2	2012	Arbaaz Khan Productions	84,00,00,000
6	Bodyguard	2011	Reliance Entertainment	79,49,00,000
7	Dabangg	2010	Arbaaz Khan Productions	76,84,00,000
8	Rowdy Rathore	2012	UTV Motion Pictures	74,00,00,000
9	Agneepath	2012	Dharma Productions	65,53,00,000
10	Ready	2011	T-Series	64,58,00,000
