Country	Contestant	Age	Height (cm)	Height (ft)	Hometown
Argentina	Alejandra Bernal	20	178	5'10"	San Salvador de Jujuy
Aruba	Nuraysa Lispier	23	176	5'9"	Sint Nicolaas
Bahamas	Kerel Pinder	23	170	5'7"	Freeport
Bolivia	Laura Olivera	18	173	5'8"	Yacuiba
Brazil	Anelize Garcia	25	177	5'10"	Maringá
Canada	Chanel Beckenlehner	20	175	5'9"	Toronto
Colombia	Alejandra Mesa	22	175	5'9"	Medellín
Costa Rica	Johanna Solano	18	175	5'9"	Heredia
Dominican Republic	Victoria Fernández	21	178	5'10"	Santiago
Ecuador	Tatiana Chele	17	162	5'2"	Manta
El Salvador	Laura Jiménez	22	173	5'8"	Poleros
Guatemala	Maribel Arana	23	173	5'8"	Guatemala City
Honduras	Paola Sabillón	18	179	5'11"	San Francisco de Yojoa
Panama	Alejandra Arias	20	176	5'9"	Panama City
Paraguay	Fiorella Forestieri	27	170	5'7"	Asunción
Peru	María Jesús Salas	19	180	5'11"	Lima
Poland	Patrycja Jactzac	20	175	5'9"	Warsaw
Puerto Rico	Jenniffer Morales	18	172	5'8"	Mayagüez
Spain	Ana Montabés	21	177	5'10"	Jaén
United States	Michelle Fleming	19	173	5'8"	Hesperia
