Date	Tournament	Surface	Opponent in the final	Score
23 October 2006	Rodez , France	Hard	Andrey Golubev	4–6, 6–1, 6–0
17 September 2007	Plaisir , France	Hard	Thomas Oger	7–6 (7–3) , 7–5
15 October 2007	La Roche-sur-Yon , France	Hard	Lukáš Rosol	6–3, 3–6, 6–4
15 January 2008	Sunderland , United Kingdom	Hard	Richard Bloomfield	6–4, 6–3
10 March 2008	Lille , France	Hard	Clément Reix	2–6, 7–6 (7–3) , 7–5
6 October 2008	Rennes , France	Carpet	Josselin Ouanna	6–2, 6–3
5 April 2009	Saint-Brieuc , France	Clay	Josselin Ouanna	7–5, 1–6, 6–4
9 August 2009	Segovia , Spain	Hard	Feliciano López	6–3, 6–4
25 July 2010	Recanati , Italy	Hard	Stéphane Bohli	6–0, 3–6, 7–6 (7–5)
8 August 2010	Segovia , Spain	Hard	Daniel Gimeno-Traver	6–4, 7–6 (7–2)
16 September 2012	Istanbul , Turkey	Hard	Dmitry Tursunov	6–4, 7–6 (7–5)
21 April 2013	Mexico City , Mexico	Hard	Andrej Martin	4–6, 6–4, 6–1
