Title and Source	Developer(s)/Publisher(s)	JP -210-	NA -350-	PAL -295-	Wii Points
101-in-1 Explosive Megamix	Nordcurrent	No	Yes	Yes	700
2 Fast 4 Gnomz	QubicGames	No	Yes	Yes	500
3D Pixel Racing	Microforum Ltd.	No	Yes	Yes	500
3°C	Kemco	Yes	No	No	700
5 Arcade Gems	Nordcurrent	No	Yes	Yes	700
5 Spots Party	Cosmonaut Games	No	Yes	Yes	500
5-in-1 Solitaire	Digital Leisure	No	Yes	No	500
81diver (Hachi Wan Diver) Wii	Silver Star Japan	Yes	No	No	1000
A Monsteca Corral: Monsters vs. Robots	Onteca	No	Yes	Yes	500
Aero Guitar	Yudo	Yes	No	No	800
Airport Mania: First Flight	Reflexive Entertainment , Lemon Games	No	Yes	Yes	500
Alien Crush Returns	Hudson Soft , Tamsoft	Yes	Yes	Yes	800
And Yet It Moves	Broken Rules	No	Yes	Yes	1000
ANIMA: Ark of Sinners	Anima Game Studio	No	Yes	Yes	1000
Ant Nation	Konami	No	Yes	Yes	700
Arcade Essentials	Nordcurrent	No	Yes	Yes	500
Arkanoid Plus!	Taito	Yes	Yes	Yes	800
Around the World	Wizarbox	No	Yes	Yes	500
Art of Balance	Shin'en Multimedia	No	Yes	Yes	800
Art Style: CUBELLO Art Style Series: CUBELEO JP	Nintendo , skip Ltd.	Yes	Yes	Yes	600
Art Style: ORBIENT Art Style Series: ORBITAL JP	Nintendo , skip Ltd.	Yes	Yes	Yes	600
Art Style: ROTOHEX Art Style Series: DIALHEX JP	Nintendo , skip Ltd.	Yes	Yes	Yes	600
Astro Bugz Revenge	Sudden Games	No	Yes	No	700
Aya and the Cubes of Light	Object Vision Software	No	Yes	Yes	1000
Babel Rising	Lexis Numérique	No	No	Yes	500
Back to Nature	UFA Lab	No	No	Yes	500
Bakutan (Bomb Tapper)	Alpha Unit	Yes	No	No	500
Balloon Pop Festival	UFO Interactive	No	Yes	No	800
Bang Attack	Engine Software	No	Yes	Yes	600 PAL 500
Battle Poker	Left Field Productions	No	Yes	No	800
Bejeweled 2	PopCap Games	No	Yes	Yes	1000
Ben 10 Alien Force: The Rise of Hex	Konami	No	Yes	Yes	1000
Big Bass Arcade	Big John Games	No	Yes	No	500
Big Kahuna Party	Reflexive Entertainment	No	Yes	No	700
Big Town Shoot Out	Performance Design Products	No	Yes	Yes	500
Bingo Party Deluxe Wai Wai Bingo Deluxe JP	Ateam Inc.	Yes	Yes	Yes	500
Bit Boy!! Bit Man!! JP	Bplus , Marvelous Entertainment	Yes	Yes	Yes	600 500 JP
Bit.Trip Beat	Gaijin Games , Aksys Games	Yes	Yes	Yes	600 500 JP
Bit.Trip Fate	Gaijin Games , Aksys Games	No	Yes	Yes	800
Bit.Trip Flux	Gaijin Games , Aksys Games	No	Yes	Yes	800
bittos+	Unconditional Studios	No	Yes	No	800
Blaster Master: Overdrive	Sunsoft	No	Yes	Yes	1000
Block Breaker Deluxe	Gameloft	Yes	Yes	Yes	800
Blood Beach	Coresoft Inc.	No	Yes	Yes	1000 NA 500
Bloons	Hands-On Mobile	No	Yes	Yes	500
Bobby Carrot Forever	FDG Entertainment	No	Yes	Yes	800
Boingz	RealNetworks , NinjaBee	No	Yes	No	1000
Bokumo Sekai wo Sukuitai	Poisoft	Yes	No	No	1000
Bokumo Sekai wo Sukuitai: Battle Tournament	Poisoft	Yes	No	No	500
Bomberman Blast Wi-Fi 8 Hito Battle Bomberman JP	Hudson Soft	Yes	Yes	Yes	1000
Bonsai Barber	Zoonami , Nintendo	Yes	Yes	Yes	1000 800 JP
Brain Drain	Enjoy Gaming	No	Yes	Yes	500
Bubble Bobble Plus! Bubble Bobble Wii JP	Taito	Yes	Yes	Yes	800 600 NA
BurgerTime World Tour	MonkeyPaw Games	No	Yes	Yes	1000
Burn the Rope	Big Blue Bubble	No	Yes	No	1000
Carnival King	Incredible Technologies , n-Space	No	Yes	No	700
Cave Story	Studio Pixel , Nicalis	No	Yes	Yes	1200 NA 1000
Chess Challenge!	Digital Leisure	No	Yes	Yes	500
Christmas Clix	JV Games	No	Yes	No	1000
Chronos Twins DX	EnjoyUP Games	No	Yes	Yes	1000 NA 700
Cocoto Fishing Master	Neko Entertainment	No	Yes	Yes	700
Cocoto Platform Jumper	Neko Entertainment	No	Yes	Yes	700
ColorZ	Exkee , Luck Plus	Yes	Yes	Yes	800 JP 700
Contra ReBirth	Konami , M2	Yes	Yes	Yes	1000
Copter Crisis	Digital Leisure	No	Yes	Yes	500
Cozy Fire Cosy Fire PAL	dtp young entertainment	No	Yes	Yes	500
Cricket Challenge	Gameshastra	No	No	Yes	500
Critter Round-Up Saku Saku Animal Panic JP	Epicenter Studios , Konami	Yes	Yes	Yes	1000
Cruise Party	Enjoy Gaming	No	Yes	Yes	800
Crystal Defenders R1	Square Enix	Yes	Yes	Yes	1000 JP 800
Crystal Defenders R2	Square Enix	Yes	Yes	Yes	1000 JP 800
Dart Rage	JV Games	No	Yes	No	600
Darts Wii	Alpha Unit	Yes	No	No	500
Deer Captor Shika Gari JP	Arc System Works	Yes	Yes	No	500
Defend Your Castle	XGen Studios	No	Yes	Yes	500
Derby Dogs Derby Dog JP	SIMS Co., Ltd. , Aksys Games	Yes	Yes	No	500
Diatomic	Grendel Games	No	Yes	No	800
Discipline: Teikoku no Tanjou	Marvelous Entertainment , Unigame Bunko	Yes	No	No	800
Dive: The Medes Islands Secret	Cosmonaut Games	No	Yes	Yes	1000
Doc Clock: The Toasted Sandwich of Time	Stickmen Studios	No	Yes	No	1000
Downtown Nekketsu Dodgeball	Miracle Kidz	Yes	No	No	800
Dracula: Undead Awakening	Chillingo	No	Yes	Yes	1000
Dragon Master Spell Caster	Stickmen Studios	No	Yes	Yes	500
Driift Mania	Konami	No	Yes	Yes	800
Drop Zone: Under Fire	Selectsoft	No	Yes	No	500
Eat! Fat! FIGHT! Tsuppari Ōzumō Wii Heya JP	Tecmo	Yes	Yes	Yes	1000
Eco Shooter: Plant 530 NA 530 Eco Shooter	Nintendo , Intelligent Systems	Yes	Yes	Yes	1000
Eduardo the Samurai Toaster	Semnat Studios	No	Yes	No	800
Enjoy your massage!	Microforum Ltd.	No	Yes	Yes	500
Equilibrio Katamuki Spirits JP	DK Games , Marvelous Entertainment	Yes	Yes	Yes	500
escapeVektor: Chapter 1	Nnooo	No	Yes	Yes	500
Family & Friends Party	Gammick Entertainment	No	Yes	Yes	1000
Family Games Family Games: Pen & Paper Edition PAL	Icon Games	No	Yes	Yes	500
Family Glide Hockey Okiraku Air Hockey Wii JP	Arc System Works	Yes	Yes	Yes	500
Family Go-Kart Racing Okiraku Kart Wii JP	Arc System Works	Yes	Yes	No	500
Family Mini Golf Okiraku Putter Golf Wii JP	Arc System Works	Yes	Yes	Yes	500
Family Pirate Party Okiraku Sugoroku Wii JP	Arc System Works	Yes	Yes	Yes	500
Family Table Tennis Okiraku Ping Pong Wii JP	Arc System Works	Yes	Yes	Yes	800 PAL 500
Family Tennis Okiraku Tennis Wii JP	Arc System Works	Yes	Yes	No	500
Fantasic Cube	Zoom Inc.	Yes	No	No	800
Fantasic Tambourine	Zoom Inc.	Yes	No	No	800
Fantasy Slots: Adventure Slots and Games	Big John Games	No	Yes	No	700
FAST - Racing League	Shin'en Multimedia	No	Yes	Yes	1000
Fast Draw Showdown	Digital Leisure	No	Yes	Yes	500
Fenimore Fillmore "The Westerner"	Revistronic	No	Yes	Yes	1000
Fireplacing My Fireplace PAL	Korner Entertainment	No	Yes	Yes	500
Fish Tank	iFun4all	No	Yes	Yes	500
Fish'em All	Abylight	No	Yes	Yes	800
Fishie Fishie	DK Games	No	Yes	Yes	500
Flight Control	Firemint	No	Yes	Yes	500
Flowerworks Flowerworks: Follie's Adventure PAL	Nocturnal Entertainment	No	Yes	Yes	1000 NA 500
Fluidity Hydroventure PAL	Nintendo	No	Yes	Yes	1200
Frobot	Fugazo	No	Yes	No	1000
Frogger Returns	Konami	Yes	Yes	Yes	500
Frogger: Hyper Arcade Edition	Konami	No	Yes	Yes	1000 PAL 700
Fun! Fun! Minigolf	Shin'en Multimedia	Yes	Yes	Yes	1000 JP 900
Furry Legends	Gamelion Studios	No	Yes	Yes	1000
F・O・R・T・U・N・E: Hoshi no Furi Sosogu Oka	Cybird	Yes	No	No	1000
Game Sound Station	Gust Corporation	Yes	No	No	1000
Gene Labs	Frontline Studios	No	Yes	No	500
Ghost Mania	Legendo Entertainment	No	Yes	Yes	500
Ghost Mansion Party	Gameloft	Yes	Yes	Yes	1000
GhostSlayer	Gevo Entertainment	No	Yes	No	600
Girlfriends Forever: Magic Skate	Kolkom	No	No	Yes	800
Gnomz	QubicGames	No	Yes	Yes	1000 500 PAL
Gods vs. Humans (no longer available in Europe)	Artefacts Studio , Zallag	No	Yes	Yes	1500 1200 NA
Gradius ReBirth	Konami , M2	Yes	Yes	Yes	1000 600 PAL
Gravitronix	Medaverse Studios	No	Yes	No	500
Groovin' Blocks	Empty Clip Studios	No	Yes	No	800
Gyrostarr	High Voltage Software	No	Yes	No	700
Hajīte! Block Rush	Agenda	Yes	No	No	500
Hamekomi Lucky Puzzle Wii Returns	Yuke's , Tryfirst	Yes	No	No	500
Happy Hammerin' Tataite! Mogupon JP	Agenda , Gamebridge	Yes	Yes	Yes	500
Happy Holidays: Christmas	505 Games	No	Yes	Yes	500
Happy Holidays: Halloween	505 Games	No	Yes	Yes	500
HB Arcade Cards	HB Studios	No	Yes	No	500
HB Arcade Disc Golf	HB Studios	No	Yes	No	1000
Heavy Fire: Black Arms	Teyon	No	Yes	No	500
Heavy Fire: Special Operations	Teyon	No	Yes	Yes	500
Helix	Ghostfire Games	No	Yes	Yes	1000
Heracles Chariot Racing	Neko Entertainment	No	Yes	Yes	800
Heron: Steam Machine	Triangle Studios	No	Yes	Yes	500
High Voltage Hot Rod Show	High Voltage Software	No	Yes	No	1000
Hirameki Card Battle: Mekuruca	Tom Create	Yes	No	No	1000
Hockey Allstar Shootout	Big Blue Bubble	No	Yes	No	500
Home Sweet Home	Big Blue Bubble	No	Yes	Yes	1000
HoopWorld HoopWorld: BasketBrawl PAL	Streamline Studios , Virtual Toys	No	Yes	Yes	1000
Horizon Riders	Sabarasa	No	Yes	Yes	800
Hubert the Teddy Bear: Winter Games	Teyon	No	Yes	No	500
Incoming!	JV Games	No	Yes	No	500
Inkub	Cosmonaut Games	No	Yes	No	500
Ivy the Kiwi? Mini	Prope , Namco Bandai , Xseed Games	Yes	No	No	1000
Jam City Rollergirls	Frozen Codebase	No	Yes	Yes	1000 NA 500
Janken Party Paradise	Studio Zan	Yes	No	No	500
Jelly Car 2	Disney Interactive Studios	No	Yes	No	500
Jett Rocket	Shin'en Multimedia	No	Yes	Yes	1000
Jewel Keepers: Easter Island	Nordcurrent	No	Yes	Yes	500
Just JAM	Big John Games	No	Yes	No	800
Kaku! Ugoku! Tsukamaeru! Sensei Wii	Takara Tomy	Yes	No	No	1000
Kanken: Minna de Wai Wai Kanji Nou	IE Institute Co., Ltd.	Yes	No	No	800
Kappa-kun to Asobou: Kappa-kun no Ota no Shimikai	Cable Entertainment	Yes	No	No	600
Kappa-kun to Asobou: Kappa-kun to 3 Biki no Koneko	Cable Entertainment	Yes	No	No	600
Karaoke Joysound Wii (WiiWare Hen)	Hudson Soft , Xing Inc.	Yes	No	No	1000
Kentei TV! Wii: Minna de Gotouchi Quiz Battle	Kosaido Co. Ltd.	Yes	No	No	1000
Kentōshi: Furi Furi Boxing	Takara Tomy	Yes	No	No	1000
Kodomo Kyōiku Terebi Wii: Aiue Ōchan	Home Media	Yes	No	No	700
Kodomo Kyōiku Terebi Wii: Aiue Ōmuzu	Home Media	Yes	No	No	800
Kotoba no Puzzle: Mojipittan Wii	Namco Bandai	Yes	No	No	1000
Kung Fu Funk: Everybody is Kung Fu Fighting!	Stickmen Studios	No	Yes	Yes	500
Kyotokei	Microforum Ltd.	No	Yes	Yes	500
La-Mulana	Nigoro , Nicalis , Asterizm	Yes	Yes	Yes	1200 JP 1000
Lead the Meerkats	Lapland Studio	No	Yes	Yes	1000
Learning with The PooYoos: Episode 2	Lexis Numérique	No	Yes	Yes	500
Learning with The PooYoos: Episode 3	Lexis Numérique	No	Yes	Yes	500
Let's Catch	Sega , Prope	Yes	Yes	Yes	1000
Let's Create! Pottery	Infinite Dreams Inc.	No	Yes	No	500
Licca-chan Oshare House	Takara Tomy	Yes	No	No	1000
Liight	Studio Walljump	No	Yes	No	500
lilt line	Gaijin Games	No	Yes	Yes	500
Line Attack Heroes	Grezzo , Nintendo	Yes	No	No	1000
LIT School of Darkness JP	WayForward Technologies , Square Enix	Yes	Yes	Yes	1000 JP 800
Little Tournament Over Yonder	Gevo Entertainment	No	Yes	Yes	800
Lonpos (no longer available in all regions)	Genki , Nintendo	Yes	Yes	Yes	1000 JP 800
LostWinds	Frontier Developments , Square Enix	Yes	Yes	Yes	1000
LostWinds 2: Winter of the Melodias	Frontier Developments , Square Enix	Yes	Yes	Yes	1000
MadStone	RiverMan Media	No	Yes	No	800
Magnetis	Yullaby	No	Yes	Yes	500
Mahjong	Cosmigo , GameOn	No	No	Yes	500
Manic Monkey Mayhem	Pinnacle Entertainment Ltd.	No	Yes	Yes	1000 PAL 800
Mart Racer	Joju Games	No	Yes	No	800
Max & the Magic Marker Rakugaki Hero JP	Press Play , Marvelous Entertainment	Yes	Yes	Yes	1000 800 JP
MDK2	Interplay	No	Yes	No	1000
Mega Man 9 Rockman 9: Yabō no Fukkatsu!! JP	Capcom , Inti Creates	Yes	Yes	Yes	1000
Mega Man 10 Rockman 10: Uchū kara no Kyōi!! JP	Capcom , Inti Creates	Yes	Yes	Yes	1000
Midnight Bowling Hamaru Bowling JP	Gameloft	Yes	Yes	Yes	1000 JP 800
Midnight Pool Hamaru Billiards JP	Gameloft	Yes	Yes	Yes	800 500 JP
miffy's world	Biodroid , PAN Vision	No	No	Yes	1000
Minna de Taisen Puzzle: Shanghai Wii	Sunsoft	Yes	No	No	800
Minna de Tobikome! Penguin Diving: Hooper Looper	Agenda	Yes	No	No	500
Mister Bumblebee Racing Champion	h2f Informationssysteme	No	No	Yes	500
Mix Superstar	Digital Leisure	No	Yes	Yes	500
Monochrome Racing	Nordcurrent	No	Yes	Yes	500
MotoHeroz	RedLynx	No	Yes	Yes	1500
Mouse House	Plaid World Studios	No	Yes	No	600
Mr. Driller W Mr. Driller World JP	Namco Bandai	Yes	Yes	Yes	800
Muscle March Muscle Kōshinkyoku JP	Namco Bandai	Yes	Yes	Yes	800 JP 500
My Aquarium Blue Oasis: Sakana no Iyashi Kūken JP	Hudson Soft	Yes	Yes	Yes	500
My Aquarium 2 Blue Oasis: Michinaru Shingai JP	Hudson Soft	Yes	Yes	Yes	500
