Feature	GT Force	Driving Force EX	Driving Force Pro	Driving Force GT	G25 Racing Wheel	G27 Racing Wheel
Currently available	no	no	no	yes	no	yes
Clutch pedal	no	no	no	no	yes	yes
Gear stick	no	no	yes	yes	yes	yes
Six-speed shifter	no	no	no	no	yes	yes
Sequential shifter	yes	yes	yes	yes	yes	no
Real-Time Adjustments Dial	no	no	no	yes	no	no
Wheel size	TBC	25cm (10-inch)	25cm (10-inch)	28cm (11-inch)	28cm (11-inch)	28cm (11-inch)
Steering range (degrees)	200	200	900	900	900	900
Steering wheel cover	Rubber	Rubber	Rubber	Rubber	Leather	Leather
D-pad / action buttons	yes	yes	yes	yes	12	16
