Round	Pick	Player	Position	Nationality	Team	College
T	–	Ernie Beck Category:Articles with hCards	G/F	United States	Philadelphia Warriors	Pennsylvania
T	–	Walter Dukes Category:Articles with hCards +	C	United States	New York Knicks	Seton Hall
1	1	Ray Felix Category:Articles with hCards +	C	United States	Baltimore Bullets	Long Island
1	2	Bob Houbregs Category:Articles with hCards ^	F/C	Canada	Milwaukee Hawks	Washington
1	3	Jack Molinas Category:Articles with hCards	F	United States	Fort Wayne Pistons	Columbia
1	4	Richie Regan Category:Articles with hCards	G	United States	Rochester Royals	Seton Hall
1	5	Frank Ramsey Category:Articles with hCards ^	G/F	United States	Boston Celtics	Kentucky
1	6	Jim Neal Category:Articles with hCards	C	United States	Syracuse Nationals	Wofford
1	7	Jim Fritsche Category:Articles with hCards	F/C	United States	Minneapolis Lakers	Hamline
2	8	Larry Hennessy Category:Articles with hCards	G	United States	Philadelphia Warriors	Villanova
2	9	Don Ackerman Category:Articles with hCards	G	United States	New York Knicks (from Baltimore )	Long Island
2	10	Bobby Speight Category:Articles with hCards #	F/C	United States	Baltimore Bullets (from Milwaukee )	NC State
2	11	George Glasgow Category:Articles with hCards #	G	United States	Fort Wayne Pistons	Fairleigh Dickinson
2	12	Norm Swanson Category:Articles with hCards	F	United States	Rochester Royals	Detroit
2	13	Chet Noe Category:Articles with hCards #	F/C	United States	Boston Celtics	Oregon
2	14	Dick Knostman Category:Articles with hCards	C	United States	Syracuse Nationals	Kansas State
2	15	Neil Gordon Category:Articles with hCards #	F	United States	New York Knicks	Furman
2	16	Ron Feiereisel Category:Articles with hCards	G	United States	Minneapolis Lakers	DePaul
