Pos.	Nationality	Player	Apps	Goals
GK	England	Paul Robinson Category:Articles with hCards	37	0
DF	France	Pascal Chimbonda Category:Articles with hCards	49	3
DF	South Korea	Young-Pyo Lee Category:Articles with hCards	29	0
MF	Ivory Coast	Didier Zokora Category:Articles with hCards	43	0
DF	France	Younes Kaboul Category:Articles with hCards	29	4
DF	Finland	Teemu Tainio Category:Articles with hCards	26	0
MF	England	Jermaine Jenas Category:Articles with hCards	45	6
FW	Bulgaria	Dimitar Berbatov Category:Articles with hCards	52	23
FW	Ireland	Robbie Keane Category:Articles with hCards	54	23
DF	Brazil	Gilberto	7	1
GK	Czech Republic	Radek Cerny Category:Articles with hCards	20	0
MF	France	Steed Malbranque Category:Articles with hCards	55	7
MF	Wales	Gareth Bale Category:Articles with hCards	12	3
MF	Germany	Kevin-Prince Boateng Category:Articles with hCards	21	0
MF	France	Adel Taarabt Category:Articles with hCards	10	0
DF	England	Michael Dawson Category:Articles with hCards	40	2
MF	England	Tom Huddlestone Category:Articles with hCards	43	4
FW	England	Darren Bent Category:Articles with hCards	36	8
MF	England	Jamie O'Hara Category:Articles with hCards	25	2
MF	England	Aaron Lennon Category:Articles with hCards	47	3
DF	England	Ledley King Category:Articles with hCards	10	0
DF	Scotland	Alan Hutton Category:Articles with hCards	15	0
GK	England	Tommy Forecast Category:Articles with hCards	0	0
DF	Cameroon	Benoît Assou-Ekotto Category:Articles with hCards	2	0
DF	Portugal	Ricardo Rocha Category:Articles with hCards	5	0
DF	France	Dorian Dervite Category:Articles with hCards	1	0
DF	England	Jonathan Woodgate Category:Articles with hCards	17	2
DF	Wales	Chris Gunter Category:Articles with hCards	4	0
