Date	Visitor	Score	Home	Record
November 1	Calgary	6 - 3	New Jersey	3-7-3
November 2	New Jersey	4 - 5	Montreal	3-8-3
November 4	Pittsburgh	4 - 4	New Jersey	3-8-4
November 6	New Jersey	1 - 1	Detroit	3-8-5
November 8	Washington	2 - 2	New Jersey	3-8-6
November 10	New Jersey	0 - 3	Washington	3-9-6
November 11	Edmonton	5 - 1	New Jersey	3-10-6
November 13	New Jersey	2 - 7	Quebec	3-11-6
November 16	New Jersey	2 - 7	St. Louis	3-12-6
November 17	New Jersey	3 - 5	Chicago	3-13-6
November 20	New Jersey	1 - 5	Minnesota	3-14-6
November 24	New Jersey	0 - 3	Los Angeles	3-15-6
November 26	New Jersey	4 - 4	Vancouver	3-15-7
November 27	New Jersey	4 - 3	Calgary	4-15-7
November 29	Chicago	3 - 1	New Jersey	4-16-7
