Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 10	MONY Senior Tournament of Champions	California	100,000	Don January (22)	287 (-1)	30,000
Feb 15	General Foods PGA Seniors' Championship	Florida	260,000	Chi Chi Rodriguez (4)	282 (-6)	47,000
Mar 15	Del E. Webb Arizona Classic	Arizona	200,000	Billy Casper (5)	201 (-15)	30,000
Mar 22	Vintage Chrysler Invitational	California	270,000	Bob Charles (1)	285 (-3)	40,500
Mar 29	GTE Classic	California	275,000	Bob Charles (2)	208 (-8)	41,250
May 3	Sunwest Bank Charley Pride Senior Golf Classic	New Mexico	250,000	Bob Charles (3)	208 (-8)	37,500
May 10	Vantage at The Dominion	Texas	250,000	Chi Chi Rodriguez (5)	203 (-13)	37,500
May 17	United Hospitals Senior Golf Championship	Pennsylvania	225,000	Chi Chi Rodriguez (6)	202 (-8)	33,750
May 24	Silver Pages Classic	Oklahoma	250,000	Chi Chi Rodriguez (7)	200 (-16)	37,500
May 31	Denver Champions of Golf	Colorado	250,000	Bruce Crampton (8)	204 (-12)	37,500
Jun 7	Senior Players Reunion Pro-Am	Texas	200,000	Chi Chi Rodriguez (8)	201 (-15)	30,093
Jun 14	Mazda Senior Tournament Players Championship	Florida	400,000	Gary Player (5)	280 (-8)	60,000
Jun 28	Greater Grand Rapids Open	Michigan	250,000	Billy Casper (6)	200 (-13)	37,500
Jul 5	The Greenbrier American Express Championship	West Virginia	225,000	Bruce Crampton (9)	200 (-16)	33,750
Jul 12	U.S. Senior Open	Connecticut	300,000	Gary Player (6)	270 (-14)	47,000
Jul 19	MONY Syracuse Senior Classic	New York	250,000	Bruce Crampton (10)	197 (-19)	37,500
Aug 2	NYNEX/Golf Digest Commemorative	New York	250,000	Gene Littler (6)	200 (-10)	37,500
Aug 9	Digital Seniors Classic	Massachusetts	250,000	Chi Chi Rodriguez (9)	198 (-18)	37,500
Aug 16	Rancho Murieta Senior Gold Rush	California	300,000	Orville Moody (3)	205 (-11)	45,000
Aug 23	GTE Northwest Classic	Washington	300,000	Chi Chi Rodriguez (10)	206 (-10)	45,000
Aug 30	Showdown Classic	Utah	300,000	Miller Barber (19)	210 (-6)	45,000
Sep 6	Vantage presents Bank One Senior Golf Classic	Kentucky	225,000	Bruce Crampton (11)	197 (-13)	33,750
Sep 13	PaineWebber World Seniors Invitational	North Carolina	250,000	Gary Player (7)	207 (-9)	37,500
Sep 20	Crestar Classic	Virginia	325,000	Larry Mowry (1)	203 (-13)	48,750
Sep 27	Newport Cup	Rhode Island	200,000	Miller Barber (20)	202 (-14)	30,000
Oct 4	Vantage Championship	North Carolina	1,000,000	Al Geiberger (1)	206 (-4)	135,000
Oct 11	Pepsi Senior Challenge	Georgia	250,000	Larry Mowry (2)	203 (-13)	37,500
Oct 18	Seniors International Golf Championship	South Carolina	250,000	Al Geiberger (2)	209 (-4)	37,500
Oct 25	Las Vegas Senior Classic	Nevada	250,000	Al Geiberger (3)	203 (-13)	37,500
Nov 15	Fairfield Barnett Senior Classic	Florida	200,000	Dave Hill (1)	202 (-14)	30,000
Nov 22	Gus Machado Senior Classic	Florida	300,000	Gene Littler (7)	207 (-6)	45,000
Dec 13	GTE Kaanapali Classic	Hawaii	300,000	Orville Moody (4)	132 (-12)	45,000
