No	Driver	Entrant	Constructor	Chassis	Engine
2	Luigi Villoresi	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s
4	Alberto Ascari	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s
6	Peter Whitehead	Private	Ferrari	Ferrari 125	Ferrari V12s
8	Juan Manuel Fangio	Automóvil Club Argentino	Maserati	Maserati 4CLT/48	Maserati L4s
10	Benedicto Campos	Automóvil Club Argentino	Maserati	Maserati 4CLT/48	Maserati L4s
12	Giuseppe Farina	CSI	Maserati	Maserati 4CLT/48	Maserati L4s
14	Fred Ashmore	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
16	Reg Parnell	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
18	Geoffrey Crossley	Private	Alta	Alta GP	Alta L4s
20	Philippe Étancelin	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot L6
22	Pierre Levegh	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot L6
24	Louis Rosier	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot L6
26	Guy Mairesse	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot L6
