Date	Opponent	Location	Result	Attendance
09/15/1973	Florida State	Groves Stadium • Winston-Salem, NC	W 9-7	18,000
09/22/1973	William & Mary	Groves Stadium • Winston-Salem, NC	L 14-15	18,000
09/29/1973	at Richmond	UR Stadium • Richmond, VA	L 0-41	11,425
10/06/1973	at #13 Texas	Texas Memorial Stadium • Austin, TX	L 0-41	50,700
10/13/1973	South Carolina	Groves Stadium • Winston-Salem, NC	L 12-28	21,200
10/20/1973*	Maryland	Groves Stadium • Winston-Salem, NC	L 0-37	19,500
10/27/1973*	at Virginia	Scott Stadium • Charlottesville, VA	L 10-21	16,000
11/03/1973*	at Clemson	Memorial Stadium • Clemson, SC	L 8-35	23,000
11/10/1973*	Duke	Groves Stadium • Winston-Salem, NC	T 7-7	20,500
11/17/1973*	at North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	L 0-42	37,500
11/24/1973*	at #16 North Carolina State	Carter Stadium • Raleigh, NC	L 13-52	31,100
