Date	Tournament	Surface	Partner	Opponents in final	Score
26 August 2001	Long Island , USA	Hard	Radek Štěpánek	Jonathan Stark Kevin Ullyett	1–6, 4–6
29 September 2002	Palermo , Italy	Clay	František Čermák	Lucas Arnold Ker Luis Lobo	4–6, 6–4, 2–6
5 January 2003	Chennai , India	Hard	František Čermák	Julian Knowle Michael Kohlmann	6–7 (1–7) , 6–7 (3–7)
11 January 2003	Auckland , New Zealand	Hard	Tomáš Cibulec	David Adams Robbie Koenig	6–7, 6–3, 3–6
16 February 2003	Viña del Mar , Chile	Clay	František Čermák	Agustín Calleri Mariano Hood	3–6, 6–1, 4–6
13 July 2003	Gstaad , Switzerland	Clay	František Čermák	Leander Paes David Rikl	3–6, 3–6
3 August 2003	Sopot , Poland	Clay	František Čermák	Mariusz Fyrstenberg Marcin Matkowski	4–6, 7–6 (9–7) , 3–6
28 September 2003	Palermo , Italy	Clay	František Čermák	Lucas Arnold Ker Mariano Hood	6–7 (6–8) , 7–6 (7–3) , 4–6
28 February 2004	Costa do Sauipe , Brasil	Clay	Tomas Behrend	Mariusz Fyrstenberg Marcin Matkowski	2–6, 2–6
18 April 2004	Estoril , Portugal	Clay	František Čermák	Juan Ignacio Chela Gastón Gaudio	2–6, 1–6
23 May 2004	St. Pölten , Austria	Clay	Tomáš Cibulec	Mariano Hood Petr Pála	6–3, 5–7, 4–6
19 June 2005	's-Hertogenbosch , Netherlands	Grass	Tomáš Cibulec	Cyril Suk Pavel Vízner	3–6, 4–6
15 January 2006	Sydney , Australia	Hard	František Čermák	Fabrice Santoro Nenad Zimonjić	1–6, 4–6
5 February 2006	Viña del Mar , Chile	Clay	František Čermák	José Acasuso Sebastián Prieto	6–7 (2–7) , 4–6
7 May 2006	Estoril , Portugal	Clay	Lucas Arnold Ker	Lukáš Dlouhý Pavel Vízner	3–6, 1–6
20 May 2007	Pörtschach , Austria	Clay	David Škoch	Simon Aspelin Julian Knowle	6–7 (6–8) , 7–5, [5–10]
