Round	Race Name	Pole position	Winning driver	Winning Team
1	2006 Imperial Capital Bank Atlantic Race	Andreas Wirth	Andreas Wirth	Forsythe Championship Racing
2	2006 Fast Trac 100	Raphael Matos	Andreas Wirth	Forsythe Championship Racing
3	2006 Monterrey	Graham Rahal	Graham Rahal	Mi-Jack Conquest Racing
4	2006 Trinity Carpet 100K	Graham Rahal	James Hinchcliffe	Forsythe Championship Racing
5	2006 Gehl Atlantic Championship of Cleveland 1	Andreas Wirth	Graham Rahal	Mi-Jack Conquest Racing
6	2006 Gehl Atlantic Championship of Cleveland 2	Simon Pagenaud	Graham Rahal	Mi-Jack Conquest Racing
7	2006 Toronto	Graham Rahal	Robbie Pecorari	Gelles Racing
8	2006 Edmonton	Raphael Matos	Simon Pagenaud	Team Australia
9	2006 San José	Raphael Matos	Raphael Matos	Sierra Sierra Enterprises
10	2006 Denver	Graham Rahal	Graham Rahal	Mi-Jack Conquest Racing
11	2006 Montréal	James Hinchcliffe	Graham Rahal	Mi-Jack Conquest Racing
12	2006 Gehl Championship Finale	Raphael Matos	Jonathan Bomarito	PR1 Motorsports
