No	Player	Height	Position	Year born	Current Club
4	Dror Hagag	1.78	Guard	1978	Hapoel Jerusalem
5	Moran Rot	1.78	Guard	1982	Hapoel Holon
6	Yotam Halperin	1.96	Guard	1984	Maccabi Tel Aviv
7	Lior Eliyahu	2.05	Forward	1985	Maccabi Tel Aviv
8	Erez Markovich	2.08	Center	1978	Hapoel Jerusalem
9	Jeron Roberts	1.94	Guard	1976	Demon Astronauts Amsterdam
10	Guy Pnini	2.01	Forward	1983	Hapoel Jerusalem
11	Meir Tapiro	1.94	Guard	1975	Bnei HaSharon
12	Matan Naor	1.94	Forward	1980	Ironi Nahariya
13	Ido Kozikaro	2.02	Forward	1978	Ironi Nahariya
14	Yaniv Green	2.06	Forward	1980	CSK VVS Samara
