Year	Division	League	Regular Season	Playoffs	Open Cup
1997	3	USISL D-3 Pro League	6th, Mid Atlantic	Did not qualify	Did not qualify
1998	3	USISL D-3 Pro League	1st, Mid Atlantic	Division Semifinals	Did not qualify
1999	3	USL D-3 Pro League	2nd, Northern	Final	Did not qualify
2000	3	USL D-3 Pro League	2nd, Northern	Conference Quarterfinals	Did not qualify
2001	3	USL D-3 Pro League	6th, Northern	Did not qualify	Did not qualify
2002	3	USL D-3 Pro League	4th, Atlantic	Did not qualify	2nd Round
2003	4	USL PDL	4th, Northeast	Did not qualify	Did not qualify
2004	4	USL PDL	1st, Northeast	Conference Finals	2nd Round
2005	4	USL PDL	2nd, Northeast	Conference Semi-Finals	3rd Round
2006	4	USL PDL	2nd, Northeast	Did not qualify	Did not qualify
2007	4	USL PDL	2nd, Mid Atlantic	Conference Semi-Finals	2nd Round
2008	4	USL PDL	5th, Northeast	Did not qualify	Did not qualify
2009	4	USL PDL	3rd, Northeast	PDL Quarter-Finals	3rd Round
2010	4	USL PDL	6th, Mid Atlantic	Did not qualify	Did not qualify
2011	4	USL PDL	7th, Mid Atlantic	Did not qualify	Did not qualify
2012	4	USL PDL	1st, Mid Atlantic	Conference Semi-Finals	Did not qualify
