Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Nant Conwy RFC	22	19	0	3	647	220	97	29	12	1	89
Ruthin RFC	22	19	1	2	605	266	90	33	11	0	89
Caernarfon RFC	22	18	0	4	680	205	107	25	14	3	89
Llangefni RFC	22	16	0	6	465	260	69	34	9	0	73
Mold RFC	22	13	0	9	481	358	64	46	8	4	64
Llandudno RFC	22	11	0	11	345	513	43	70	4	2	50
Pwllheli RFC	22	9	0	13	350	388	43	54	4	5	45
Denbigh RFC	22	7	1	14	329	438	38	56	3	5	38
Colwyn Bay RFC	22	6	0	16	329	390	39	47	4	10	38
Bala RFC	22	6	0	16	294	431	40	57	2	8	34
Dolgellau RFC	22	4	0	18	218	608	25	86	2	3	21
Llanidloes RFC	22	3	0	19	196	862	19	137	0	1	13
