Game	February	Opponent	Score	Record
50	1	New York Islanders	7 - 6	16-25-9
51	4	@ St. Louis Blues	2 - 2	16-25-10
52	5	Colorado Rockies	6 - 3	17-25-10
53	8	Minnesota North Stars	3 - 0	18-25-10
54	9	@ Buffalo Sabres	2 - 0	18-26-10
55	11	@ Toronto Maple Leafs	3 - 2	18-27-10
56	12	Montreal Canadiens	5 - 3	18-28-10
57	15	Vancouver Canucks	6 - 3	19-28-10
58	19	Colorado Rockies	4 - 4	19-28-11
59	22	@ Chicago Black Hawks	3 - 2	19-29-11
60	23	Chicago Black Hawks	6 - 2	20-29-11
61	25	@ Montreal Canadiens	6 - 3	21-29-11
62	27	Atlanta Flames	5 - 3	21-30-11
