Club	Head Coach	City	Stadium	2002-2003 season
Académica de Coimbra	João Pereira	Coimbra	Estádio Cidade de Coimbra	15th in the Liga
Alverca	José Couceiro Category:Articles with hCards	Alverca	Complexo Desportivo FC Alverca	2nd in the Liga de Honra
Belenenses	Augusto Inácio Category:Articles with hCards	Lisbon	Estádio do Restelo	9th in the Liga
Benfica	José Camacho	Lisbon	Estádio da Luz	2nd in the Liga
Boavista	Jaime Pacheco	Porto	Estádio do Bessa	10th in the Liga
Braga	Jesualdo Ferreira Category:Articles with hCards	Braga	Estádio Municipal de Braga	14th in the Liga
Estrela da Amadora	Miguel Quaresma	Amadora	Estádio José Gomes	3rd in the Liga de Honra
Gil Vicente	Luís Campos	Barcelos	Estádio Cidade de Barcelos	8th in the Liga
União de Leiria	Vítor Pontes	Leiria	Estádio Dr. Magalhães Pessoa	5th in the Liga
Marítimo	Manuel Cajuda	Funchal	Estádio dos Barreiros	7th in the Liga
Nacional	Casemiro Mior	Funchal	Estádio da Madeira	11th in the Liga
Paços de Ferreira	José Mota	Paços de Ferreira	Estádio da Mata Real	6th in the Liga
Beira-Mar	António Sousa	Aveiro	Estádio Municipal de Aveiro	13th in the Liga
Moreirense	Manuel Machado Category:Articles with hCards	Guimarães	Estádio do Moreirense	12th in the Liga
Porto	José Mourinho Category:Articles with hCards	Porto	Estádio do Dragão	1st in the Liga
Sporting CP	Fernando Santos Category:Articles with hCards	Lisbon	Estádio José Alvalade	3rd in the Liga
Rio Ave	Carlos Brito	Vila do Conde	Estádio dos Arcos	1st in the Liga de Honra
Vitória de Guimarães	Jorge Jesus Category:Articles with hCards	Guimarães	Estádio D. Afonso Henriques	4th in the Liga
