Athlete (nation)	Olympics	Gold	Silver	Bronze	Total
Elisabeta Lipă Romania (ROU)	1984, 1988, 1992, 1996, 2000, 2004	5	2	1	8
Steve Redgrave Great Britain (GBR)	1984, 1988, 1992, 1996, 2000	5	0	1	6
Georgeta Damian Romania (ROU)	2000, 2004, 2008	5	0	1	6
Doina Ignat Romania (ROU)	1992, 1996, 2000, 2004, 2008	4	1	1	6
Kathrin Boron Germany (GER)	1992, 1996, 2000, 2004, 2008	4	0	1	5
Viorica Susanu Romania (ROU)	1996, 2000, 2004, 2008	4	0	1	5
Matthew Pinsent Great Britain (GBR)	1992, 1996, 2000, 2004	4	0	0	4
Jack Beresford Great Britain (GBR)	1920, 1924, 1928, 1932, 1936	3	2	0	5
Constanţa Burcică Romania (ROU)	1992, 1996, 2000, 2004, 2008	3	1	1	5
Elena Georgescu Romania (ROU)	1992, 1996, 2000, 2004, 2008	3	1	1	5
Drew Ginn Australia (AUS)	1996, 2004, 2008, 2012	3	1	0	4
Eskild Ebbesen Denmark (DEN)	1996, 2000, 2004, 2008, 2012	3	0	2	5
Marnie McBean Canada (CAN)	1992, 1996	3	0	1	4
Kathleen Heddle Canada (CAN)	1992, 1996	3	0	1	4
James Tomkins Australia (AUS)	1992, 1996, 2000, 2004	3	0	1	4
John B. Kelly, Sr. United States (USA)	1920, 1924	3	0	0	3
Paul Costello United States (USA)	1920, 1924, 1928	3	0	0	3
Vyacheslav Ivanov Soviet Union (URS)	1956, 1960, 1964	3	0	0	3
Siegfried Brietzke East Germany (GDR)	1972, 1976, 1980	3	0	0	3
Pertti Karppinen Finland (FIN)	1976, 1980, 1984	3	0	0	3
Agostino Abbagnale Italy (ITA)	1988, 1996, 2000	3	0	0	3
Liliana Gafencu Romania (ROU)	1996, 2000, 2004	3	0	0	3
