Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jul 22, 1962	Lady Carling Open	+4 (74-77-75=226)	3 strokes	Mary Mills
Sep 9, 1962	Eugene Open	−4 (75-69-79-69=292)	7 strokes	Jackie Pung
Jul 7, 1963	Lady Carling Eastern Open	+4 (71-79-71=221)	2 strokes	JoAnne Carner (a)
Aug 9, 1964	Waterloo Women's Open Invitational	−5 (72-71-68=211)	4 strokes	Ruth Jessen
May 22, 1966	Babe Zaharias Open	−1 (71-68-70=209)	2 strokes	Kathy Whitworth
Sep 17, 1967	Shirley Englehorn Invitational	−3 (71-70-69=210)	Playoff	Kathy Whitworth
Aug 10, 1968	Concord Open	−2 (77-76-76=229)	3 strokes	Sandra Haynie
May 17, 1970	Johnny Londoff Chevrolet Tournament	E (74-74-68=216)	2 strokes	Carol Mann
May 31, 1970	O'Sullivan Ladies Open	−6 (71-68-71=210)	Playoff	Margie Masters
Jun 7, 1970	Lady Carling Open	−9 (72-67-71=210)	1 stroke	Carol Mann
Jun 13, 1970	LPGA Championship	−7 (70-70-75-70=285)	Playoff	Kathy Whitworth
