Rider	Manufacturer	Laps	Time	Grid
Alvaro Bautista	Aprilia	26	44:34.257	2
Marco Simoncelli	Gilera	26	+7.050	1
Mika Kallio	KTM	26	+7.063	4
Thomas Luthi	Aprilia	26	+12.998	8
Hiroshi Aoyama	KTM	26	+14.666	6
Yuki Takahashi	Honda	26	+18.498	5
Julián Simón	KTM	26	+26.812	11
Hector Barbera	Aprilia	26	+28.012	9
Hector Faubel	Aprilia	26	+28.288	10
Lukas Pesek	Aprilia	26	+36.966	12
Aleix Espargaro	Aprilia	26	+38.296	13
Alex Baldolini	Aprilia	26	+52.070	14
Ratthapark Wilairot	Honda	26	+1:13.303	17
Federico Sandi	Aprilia	26	+1:17.592	20
Eugene Laverty	Aprilia	26	+1:21.363	21
Karel Abraham	Aprilia	26	+1:26.355	16
Manuel Poggiali	Gilera	20	+1:27.438	15
Imre Toth	Aprilia	25	+1 lap	22
Doni Tata Pradita	Yamaha	25	+1 lap	23
Roberto Locatelli	Gilera	23	Retirement	19
Mattia Pasini	Aprilia	20	Collision	3
Russell Gómez	Aprilia	9	Retirement	24
Fabrizio Lai	Gilera	4	Retirement	18
Alex Debon	Aprilia	3	Accident	7
Ho Wan Chow	Aprilia	1	Accident	25
