Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1994	Michel Hommell	Alain Cudini Eric Hélary	GT1	230	DNF	DNF
1997	DAMS	Franck Lagorce Éric Bernard	GT1	149	DNF	DNF
1998	JB Racing	Vincenzo Sospiri Jérôme Policand	LMP1	187	DNF	DNF
2000	Racing Organisation Course	Jordi Gené Jérôme Policand	LMP675	72	DNF	DNF
2001	Pescarolo Sport	Sébastien Bourdais Laurent Rédon	LMP900	271	13th	4th
2002	Pescarolo Sport	Sébastien Bourdais Franck Lagorce	LMP900	343	10th	9th
2003	Pescarolo Sport	Stéphane Sarrazin Franck Lagorce	LMP900	356	8th	6th
2005	Pescarolo Sport	Emmanuel Collard Érik Comas	LMP1	368	2nd	2nd
2007	Pescarolo Sport	Emmanuel Collard Romain Dumas	LMP1	358	3rd	3rd
2008	Pescarolo Sport	Emmanuel Collard Romain Dumas	LMP1	238	DNF	DNF
2009	Pescarolo Sport	Simon Pagenaud Benoît Tréluyer	LMP1	210	DNF	DNF
2010	Rebellion Racing	Andrea Belicchi Guy Smith	LMP1	143	DNF	DNF
2011	Rebellion Racing	Andrea Belicchi Guy Smith	LMP1	190	DNF	DNF
