Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	60	1:28:37.554	1
Juan Pablo Montoya	Williams - BMW	60	+5.462	7
Kimi Räikkönen	McLaren - Mercedes	60	+10.656	3
Michael Schumacher	Ferrari	60	+25.648	5
David Coulthard	McLaren - Mercedes	60	+36.827	12
Jarno Trulli	Renault	60	+43.067	2
Cristiano da Matta	Toyota	60	+45.085	6
Jenson Button	BAR - Honda	60	+45.478	20
Ralf Schumacher	Williams - BMW	60	+58.032	4
Jacques Villeneuve	BAR - Honda	60	+1:03.569	9
Olivier Panis	Toyota	60	+1:05.207	13
Heinz-Harald Frentzen	Sauber - Petronas	60	+1:05.564	14
Ralph Firman	Jordan - Ford	59	+1 Lap	17
Mark Webber	Jaguar - Cosworth	59	+1 Lap	11
Jos Verstappen	Minardi - Cosworth	58	+2 Laps	19
Justin Wilson	Minardi - Cosworth	58	+2 Laps	18
Nick Heidfeld	Sauber - Petronas	58	+2 Laps	16
Fernando Alonso	Renault	52	Gearbox	8
Giancarlo Fisichella	Jordan - Ford	44	Suspension	15
Antônio Pizzonia	Jaguar - Cosworth	32	Engine	10
