Pick	Player	Position	Nationality	NHL team	College/junior/club team
1	Chris Phillips	Defence	Canada	Ottawa Senators	Prince Albert Raiders ( WHL )
2	Andrei Zyuzin	Defence	Russia	San Jose Sharks	Salavat Yulaev Ufa (Russia)
3	Jean-Pierre Dumont	Right Wing	Canada	New York Islanders	Val-d'Or Foreurs ( QMJHL )
4	Alexandre Volchkov	Left Wing	Russia	Washington Capitals (from Los Angeles)	Barrie Colts ( OHL )
5	Ric Jackman	Defence	Canada	Dallas Stars	Sault Ste. Marie Greyhounds (OHL)
6	Boyd Devereaux	Centre	Canada	Edmonton Oilers	Kitchener Rangers (OHL)
7	Erik Rasmussen	Centre	United States	Buffalo Sabres	University of Minnesota ( NCAA )
8	Johnathan Aitken	Defence	Canada	Boston Bruins (from Hartford)	Medicine Hat Tigers (WHL)
9	Ruslan Salei	Defence	Belarus	Mighty Ducks of Anaheim	Las Vegas Thunder ( IHL )
10	Lance Ward	Defence	Canada	New Jersey Devils	Red Deer Rebels (WHL)
11	Dan Focht	Defence	Canada	Winnipeg Jets	Tri-City Americans (WHL)
12	Josh Holden	Centre	Canada	Vancouver Canucks	Regina Pats (WHL)
13	Derek Morris	Defence	Canada	Calgary Flames	Regina Pats (WHL)
14	Marty Reasoner	Centre	United States	St. Louis Blues (from St. Louis via Edmonton)	Boston College (NCAA)
15	Dainius Zubrus	Right Wing	Lithuania	Philadelphia Flyers (from Toronto)	Pembroke (COJHL)
16	Mario Larocque	Defence	Canada	Tampa Bay Lightning	Hull Olympiques (QMJHL)
17	Jaroslav Svejkovsky	Right Wing	Czech Republic	Washington Capitals	Tri-City Americans (WHL)
18	Matt Higgins	Centre	Canada	Montreal Canadiens	Moose Jaw Warriors (WHL)
19	Matthieu Descoteaux	Defence	Canada	Edmonton Oilers (from Boston)	Shawinigan Cataractes (QMJHL)
20	Marcus Nilson	Left Wing	Sweden	Florida Panthers	Djurgardens IF (Sweden)
21	Marco Sturm	Left Wing	Germany	San Jose Sharks (from Chicago)	Landshut EV (Germany)
22	Jeff Brown	Defence	Canada	New York Rangers	Sarnia Sting (OHL)
23	Craig Hillier	Goaltender	Canada	Pittsburgh Penguins	Ottawa 67's (OHL)
25	Peter Ratchuk	Defence	United States	Colorado Avalanche	Shattuck St. Mary's (USHS-MN)
