Round	Pick #	Overall	Name	Position	College
1	25	25	Bobby Butler	Cornerback	Florida State
2	26	54	Lyman White	Linebacker	LSU
3	24	80	Scott Woerner	Defensive Back	Georgia
4	26	109	John Scully	Guard	Notre Dame
5	25	136	Eric Sanders	Offensive Tackle	Nevada
6	26	164	Harry Standback	Defensive Tackle	North Carolina
8	26	219	Cliff Toney	Defensive Back	Auburn
9	24	245	Calvin Fance	Running Back	Rice
10	26	274	Robert Murphy	Defensive Back	Ohio State
11	25	301	Keith Chappelle	Wide Receiver	Iowa
12	26	330	Mark McCants	Defensive Back	Temple
