Driver	Constructor	Q1 order	Q1 time	Q1 pos	Q1+Q2 time
Kimi Räikkönen	McLaren - Mercedes	18	1:19.886	1	2:42.880
Fernando Alonso	Renault	20	1:19.889	2	2:43.441
Jenson Button	BAR - Honda	8	1:20.464	5	2:44.105
Mark Webber	Williams - BMW	16	1:20.442	4	2:44.511
Jarno Trulli	Toyota	19	1:20.492	6	2:44.518
Takuma Sato	BAR - Honda	7	1:20.851	10	2:44.658
Alexander Wurz	McLaren - Mercedes	2	1:20.632	8	2:44.689
Felipe Massa	Sauber - Petronas	15	1:20.593	7	2:44.930
Nick Heidfeld	Williams - BMW	6	1:20.807	9	2:45.196
Rubens Barrichello	Ferrari	13	1:20.892	11	2:45.240
Ralf Schumacher	Toyota	17	1:20.994	12	2:45.416
Jacques Villeneuve	Sauber - Petronas	11	1:20.999	13	2:46.259
Giancarlo Fisichella	Renault	4	1:21.708	15	2:46.710
Michael Schumacher	Ferrari	5	1:20.260	3	2:47.244
David Coulthard	Red Bull - Cosworth	14	1:21.632	14	2:48.070
Vitantonio Liuzzi	Red Bull - Cosworth	1	1:21.804	16	2:48.155
Narain Karthikeyan	Jordan - Toyota	3	1:23.123	17	2:52.099
Tiago Monteiro	Jordan - Toyota	12	1:25.100	18	2:54.252
Patrick Friesacher	Minardi - Cosworth	10	1:26.484	20	2:57.048
Christijan Albers	Minardi - Cosworth	9	1:25.921	19	Accident in Q2
