Date	Visitor	Score	Home	Decision	Attendance	Record
November 2	Edmonton	5 – 4	Philadelphia	Biron	19,437	4–4–3
November 6	Philadelphia	1 – 4	Ottawa	Niittymaki	18,938	4–5–3
November 8	Tampa Bay	2 – 1	Philadelphia	Biron	19,412	4–6–3
November 11	Philadelphia	3 – 1	NY Islanders	Biron	13,447	5–6–3
November 13	Philadelphia	4 – 5	Pittsburgh	Biron	17,132	5–6–4
November 15	Philadelphia	2 – 1	Montreal	Biron	21,273	6–6–4
November 16	Atlanta	3 – 4	Philadelphia	Niittymaki	19,437	7–6–4
November 21	Philadelphia	3 – 0	Buffalo	Biron	18,256	8–6–4
November 22	Phoenix	3 – 4	Philadelphia	Biron	19,520	9–6–4
November 24	Dallas	3 – 4	Philadelphia	Biron	19,171	10–6–4
November 26	Philadelphia	3 – 1	Carolina	Niittymaki	15,057	11–6–4
November 28	Carolina	2 – 3	Philadelphia	Biron	19,587	11–6–5
November 29	Philadelphia	2 – 4	Toronto	Biron	19,387	11–7–5
