Warrior	Close ranged weapons	Mid ranged weapons	Long ranged weapons	Armor	Special weapon
Apache	Knife (stone), Knife (iron)	s Tomahawk (iron), Tomahawks (horse jaw)	Bow and iron arrows, Bow and poisoned arrows	Hand paint, War paint	Stone club
Centurion	Gladius , Spatha	Lancea , Hasta	Plumbata , Pilum	Lorica segmentata , Lorica hamata	Falx
Knight	Broadsword , Mace	Poleaxe , Halberd	Light crossbow , Heavy crossbow	Maximilian fullplate , Coat of plates	Morning star
Ninja	Ninjato , Wakizashi	Kusarigama , Kyoketsu shoge	Shuriken , Fukiya	Shinobi shōzoku , Tatami-dō	Glass egg
Pirate	Cutlass , Dagger	Pike , Boarding Pike	Flintlock pistol , Blunderbuss	Leather coat, Privateer jacket	Grenado
Samurai	Katana , Nodachi	Naginata , Yari	Yumi (daikyū), Yumi (hankyū)	Dō-maru , Nimaido	Kanabo
Spartan	Xiphos , Xyele	Dory , Sarissa	Light javelin , Heavy javelin	Bronze cuirass , Linothorax	Falcata
Viking	Longsword , Skeggox	Greataxe , Atgeir	Spear , Dual wield spears	Chainmail , Lamellar	Langsax
Rajput	Khanda , Gurj	Tabar , Bhuj	Chakram , Quoit	Coat of 10000 nails , Chahar-Aina	Dual wield katar
Shaolin Monk	Jian , Dao	Shuang Gou , Jī Zhuǎ Lián	Flying knife , Sleeve arrow	Monk's Robes , Buddha's robes	Dual wield emeici
