Variant id	5’UTR splice	Coding	3’UTR sequence	GenBank id
AD'6A	AD’	6A	6A	HQ021433
AD'6A 2	AD’	6A 2	6A 2	HQ021434
AD'6A 3	AD’	6A 3	6A 3	HQ021435
AD'6A 4	AD’	6A 4	6A 4	HQ021436
AB'D'6A	AB'D’	6A	6A	JX502764
AB'D'6A 2	AB'D’	6A 2	6A 2	HQ021437
AB'D'6A 3	AB'D’	6A 3	6A 3	HQ021438
AB'D'6A 4	AB'D’	6A 4	6A 4	HQ021439
ACD'6A	ACD’	6A	6A	JX502765
ACD'6A 2	ACD’	6A 2	6A 2	HQ021440
ACD'6A 3	ACD’	6A 3	6A 3	HQ021441
ACD'6A 4	ACD’	6A 4	6A 4	HQ021442
SFTPA1 variant 1	AB'D’	6A 3	6A 3	NM_005411.4
SFTPA1 variant 2	ACD’	6A 3	6A 3	NM_001093770.2
SFTPA1 variant 3	ABD’	6A 3	6A 3	NM_001164644.1
SFTPA1 variant 4	AD’	6A 3	6A 3	NM_001164647.1
SFTPA1 variant 5	ACD’	6A 3 (truncated)	6A 3	NM_001164645.1
SFTPA1 variant 6	AB'D’	6A 3 (truncated)	6A 3	NM_001164646.1
