Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
33	January 2	New Orleans	L 77–92 (OT)	Rudy Fernández (19)	LaMarcus Aldridge (10)	Rose Garden 20,708	20–13
34	January 4	@ L.A. Lakers	L 86–100 (OT)	LaMarcus Aldridge (22)	LaMarcus Aldridge (11)	Staples Center 18,997	20–14
35	January 7	Detroit	W 84–83 (OT)	LaMarcus Aldridge (26)	Joel Przybilla (7)	Rose Garden 20,644	21–14
36	January 10	Golden State	W 113–100 (OT)	LaMarcus Aldridge (26)	Greg Oden (8)	Rose Garden 20,687	22–14
37	January 12	@ Chicago	W 109–95 (OT)	Travis Outlaw (33)	Greg Oden (13)	United Center 18,996	23–14
38	January 14	@ Philadelphia	L 79–100 (OT)	Brandon Roy (27)	LaMarcus Aldridge , Joel Przybilla (9)	Wachovia Center 14,561	23–15
39	January 15	@ New Jersey	W 105–99 (OT)	Brandon Roy (29)	Joel Przybilla (11)	Izod Center 13,824	24–15
40	January 17	@ Charlotte	L 97–102 (OT)	LaMarcus Aldridge (21)	Joel Przybilla (10)	Time Warner Cable Arena 17,482	24–16
41	January 19	Milwaukee	W 102–85 (OT)	Greg Oden (24)	Greg Oden (15)	Rose Garden 20,580	25–16
42	January 21	Cleveland	L 98–104 (OT)	Brandon Roy (23)	Joel Przybilla (15)	Rose Garden 20,632	25–17
43	January 24	Washington	W 100–87 (OT)	Brandon Roy (22)	Greg Oden (14)	Rose Garden 20,566	26–17
44	January 26	@ L.A. Clippers	W 113–88 (OT)	Brandon Roy (33)	Joel Przybilla (8)	Staples Center 16,570	27–17
45	January 28	Charlotte	W 88–74 (OT)	LaMarcus Aldridge (25)	Greg Oden (14)	Rose Garden 20,380	28–17
46	January 31	Utah	W 122–108 (OT)	Brandon Roy (30)	Joel Przybilla (17)	Rose Garden 20,593	29–17
