Week	Date	Opponent	Result	Venue	Attendance
1	September 9, 1990	Los Angeles Rams	W 36-24	Lambeau Field	57,685
2	September 16, 1990	Chicago Bears	L 31-13	Lambeau Field	58,938
3	September 23, 1990	Kansas City Chiefs	L 17-3	Lambeau Field	58,817
4	September 30, 1990	at Detroit Lions	W 24-21	Pontiac Silverdome	64,509
5	October 7, 1990	at Chicago Bears	L 27-13	Soldier Field	59,929
6	October 14, 1990	at Tampa Bay Buccaneers	L 26-14	Tampa Stadium	67,472
7	Bye	Bye	Bye	Bye	Bye
8	October 28, 1990	Minnesota Vikings	W 24-10	Milwaukee County Stadium	55,125
9	November 4, 1990	San Francisco 49ers	L 24-20	Lambeau Field	58,835
10	November 11, 1990	at Los Angeles Raiders	W 29-16	Los Angeles Memorial Coliseum	50,855
11	November 18, 1990	at Phoenix Cardinals	W 24-21	Sun Devil Stadium	46,878
12	November 25, 1990	Tampa Bay Buccaneers	W 20-10	Milwaukee County Stadium	53,677
13	December 2, 1990	at Minnesota Vikings	L 23-7	Hubert H. Humphrey Metrodome	62,058
14	December 9, 1990	Seattle Seahawks	L 20-14	Milwaukee County Stadium	52,015
15	December 16, 1990	at Philadelphia Eagles	L 31-0	Veterans Stadium	65,627
16	December 22, 1990	Detroit Lions	L 24-17	Lambeau Field	46,700
17	December 30, 1990	at Denver Broncos	L 22-13	Mile High Stadium	46,943
