1997–98	1998–99	1999–00	2000–01	2001–02	2002–03	2003–04	2004–05	2005–06	2006–07	2007–08	2008–09	2009–10	2010–11	2011–12	2012–13
Atmatsidis	Atmatsidis	Atmatsidis	Atmatsidis	Atmatsidis	Atmatsidis	Michailidis	Michailidis	Sorrentino	Kafes	Kafes	Kafes	Kafes	Kafes	Kafes	Dimi
Machairidis	Lakis	Dellas	Dellas	Marica	Borbokis	Borbokis	—	—	—	Edson Ratinho	Edson Ratinho	Araujo	Patsatzoglou	Kontoes	Kontoes
Kasapis	Markos	Petric	Feruzem	Feruzem	—	Petkov	Malbaša	Malbaša	—	Arruabarrena	—	Hersi	Nasuti	Helgason	Yago
Doboş	—	—	Donchev	Gamarra	—	—	Alves	—	Moras	Geraldo	Geraldo	Geraldo	Manolas	Manolas	—
Kostenoglou	Babunski	Kostenoglou	Kostenoglou	Kostenoglou	Kostenoglou	Kostenoglou	Kostenoglou	Cirillo	Cirillo	Dellas	Majstorović	Majstorović	Dellas	Dellas	—
Vlachos	Kostenoglou	Markos	Zagorakis	Zagorakis	Zagorakis	Zagorakis	Maistrellis	Alexopoulos	Alexopoulos	Alexopoulos	Alexopoulos	Alexopoulos	Mateos	Cala	Cordero
Maladenis	Maladenis	Maladenis	Maladenis	Maladenis	Maladenis	Maladenis	Soares	Soares	Kyriakidis	Pappas	Juanfran	—	Roger	Roger	Katsikokeris
Savevski	Savevski	Savevski	Savevski	—	Kreek	Kreek	Rusev	Sapanis	—	Nsaliwa	Nsaliwa	—	Jahić	Beleck	Katidis
Koutoulas	Zouboulis	Bjeković	Kostis	Mielcarski	Solakis	Okkas	Petkov	Komvolidis	Delibašić	Kapetanos	Edinho	Leonardo	Leonardo	Leonardo	Tsitas
Kostis	Iliev Wreh	Ćirić	Tsiartas	Tsiartas	Tsiartas	Tsiartas	Konstantinidis	Kone	Kone	Rivaldo	Rivaldo Djebbour	Djebbour	Djebbour	José Carlos	Roger
Nikolaidis	Nikolaidis	Nikolaidis	Nikolaidis	Nikolaidis	Nikolaidis	—	Kampantais	Venhlynskyi	Manduca	Manduca	Manduca	Manduca	Míchel	Sialmas	Pavlis
