Driver	Team	Laps	Time/Retired	Grid	Points
Paul Tracy	Forsythe Racing	89	1:45:10.860	7	31
Robert Doornbos	Minardi Team USA	89	+0.5 secs	5	27
Neel Jani	PKV Racing	89	+5.4 secs	11	26
Justin Wilson	RSPORTS	89	+5.9 secs	8	23
Simon Pagenaud	Team Australia	89	+6.3 secs	2	21
Alex Tagliani	RSPORTS	89	+17.8 secs	9	19
Oriol Servia	Forsythe Racing	89	+23.7 secs	10	17
Graham Rahal	N/H/L Racing	89	+24.7 secs	4	15
Ryan Dalziel	Pacific Coast Motorsports	89	+27.8 secs	16	13
Will Power	Team Australia	89	+55.2 secs	3	11
Dan Clarke	Minardi Team USA	88	+ 1 Lap	6	10
Sébastien Bourdais	N/H/L Racing	67	Mechanical	1	12
Tristan Gommendy	PKV Racing	34	Contact	12	8
Jan Heylen	Conquest Racing	34	Contact	17	7
Katherine Legge	Dale Coyne Racing	32	Mechanical	15	6
Bruno Junqueira	Dale Coyne Racing	6	Contact	14	5
Alex Figge	Pacific Coast Motorsports	3	Mechanical	13	4
