Week	Date	Kickoff ( ET )	TV	Opponent	Result	Record	Game Site
1	Sun. Sep. 3	1:00pm	NBC	at Buffalo Bills	W 28–17	1–0	Rich Stadium
2	Sun. Sep. 10	1:00pm	NBC	Seattle Seahawks	W 21–10	2–0	Three Rivers Stadium
3	Sun. Sep. 17	1:00pm	NBC	at Cincinnati Bengals	W 28–3	3–0	Riverfront Stadium
4	Sun. Sep. 24	1:00pm	NBC	Cleveland Browns	W 15–9 OT	4–0	Three Rivers Stadium
5	Sun. Oct. 1	1:00pm	NBC	at New York Jets	W 28–17	5–0	Shea Stadium
6	Sun. Oct. 8	1:00pm	CBS	Atlanta Falcons	W 31–7	6–0	Three Rivers Stadium
7	Sun. Oct. 15	1:00pm	NBC	at Cleveland Browns	W 34–14	7–0	Cleveland Municipal Stadium
8	Mon. Oct. 23	9:00pm	ABC	Houston Oilers	L 24–17	7–1	Three Rivers Stadium
9	Sun. Oct. 29	1:00pm	NBC	Kansas City Chiefs	W 27–24	8–1	Three Rivers Stadium
10	Sun. Nov. 5	1:00pm	CBS	New Orleans Saints	W 20–14	9–1	Three Rivers Stadium
11	Sun. Nov. 12	9:00pm	ABC	at Los Angeles Rams	L 10–7	9–2	L.A. Memorial Coliseum
12	Sun. Nov. 19	4:00pm	NBC	Cincinnati Bengals	W 7–6	10–2	Three Rivers Stadium
13	Mon. Nov. 27	9:00pm	ABC	at San Francisco 49ers	W 24–7	11–2	Candlestick Park
14	Sun. Dec. 3	4:00pm	NBC	at Houston Oilers	W 13–3	12–2	Astrodome
15	Sat. Dec. 9	1:00pm	NBC	Baltimore Colts	W 35–13	13–2	Three Rivers Stadium
