Tournament	1990	1991	1992	1993	1994	1995	1996	1997	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	2R	QF	2R	QF	A	2R	1R	1R	0 / 12	16–12
French Open	3R	4R	2R	A	A	2R	3R	A	0 / 12	16–12
Wimbledon	4R	QF	QF	A	QF	2R	1R	A	0 / 12	21–12
U.S. Open	1R	2R	4R	A	2R	1R	4R	A	0 / 12	13–12
Grand Slam SR	0 / 4	0 / 4	0 / 4	0 / 1	0 / 2	0 / 4	0 / 4	0 / 1	0 / 48	N/A
Annual Win-Loss	6–4	12–4	9–4	4–1	5–2	3–4	5–4	0–1	N/A	66–48
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	2R	F	2R	1R	A	2R	1R	1R	0 / 7	6–7
Miami	3R	4R	A	4R	A	2R	2R	1R	0 / 6	6–6
Monte Carlo	3R	3R	3R	2R	1R	1R	A	A	0 / 6	5–6
Rome	QF	A	1R	A	A	A	1R	A	0 / 3	3–3
Hamburg	SF	A	A	1R	A	A	1R	A	0 / 3	4–3
Montreal/Toronto	A	A	A	A	A	A	1R	A	0 / 1	0–1
Cincinnati	3R	W	2R	A	A	1R	A	A	1 / 4	7–3
Stuttgart (Stockholm)	3R	3R	F	A	2R	1R	A	A	0 / 5	7–5
Paris	3R	W	F	A	3R	3R	1R	A	1 / 6	14–5
Masters Series SR	16–8	18–4	9–6	3–4	3–3	3–6	0–6	0–2	N/A	52–39
Masters Series SR	0 / 8	2 / 6	0 / 6	0 / 4	0 / 3	0 / 6	0 / 6	0 / 2	2 / 41	N/A
Year End Ranking	16	7	11	158	40	71	51	1121	N/A	N/A
