Margin	Score	Opponent	Venue	Round
65	6-71	Brisbane Broncos	Suncorp Stadium	Rd 11, 2007
50	0-50	Parramatta Eels	EnergyAustralia Stadium	Rd 14, 2005
50	14-64	Cronulla-Sutherland Sharks	Toyota Park	Rd 22, 2002
46	6-52	Melbourne Storm	Olympic Park	Rd 7, 2006
46	6-52	Bulldogs	Telstra Stadium	Rd 25, 2004
46	2-48	St. George Illawarra Dragons	WIN Stadium	Rd 4, 2004
44	0-44	Melbourne Storm	Olympic Park	Rd 18, 2007
44	6-50	Brisbane Broncos	Sydney Football Stadium	Finals Week 2, 2006
44	4-48	Sydney Roosters	Sydney Football Stadium	Rd 15, 2004
42	10-52	New Zealand Warriors	Mt Smart Stadium	Rd 20, 2007
42	0-42	Auckland Warriors	Mt Smart Stadium	Rd 25, 1999
