Game	Date	Opponent	Score	Location	Attendance	Record	Points
41	January 2	Pittsburgh Penguins	3 – 1	St. Pete Times Forum	20109	16–15–10	42
42	January 6	Buffalo Sabres	5 – 3	HSBC Arena	18690	16–16–10	42
44	January 8*	New Jersey Devils	4 – 2	Prudential Center	15129	17–16–10	44
43	January 9	Philadelphia Flyers	4 – 1	Wachovia Center	19678	16–17–10	44
45	January 12	Washington Capitals	7 – 4	St. Pete Times Forum	13891	18–17–10	46
46	January 14	Florida Panthers	3 – 2	St. Pete Times Forum	13516	18–18–10	46
47	January 16	Florida Panthers	5 – 2	BankAtlantic Center	15971	18–19–10	46
48	January 18	Carolina Hurricanes	3 – 2	RBC Center	16031	19–19–10	48
49	January 19	New York Rangers	8 – 2	Madison Square Garden	18200	19–20–10	48
50	January 21	Toronto Maple Leafs	3 – 2 (OT)	St. Pete Times Forum	13691	20–20–10	50
51	January 23	Atlanta Thrashers	2 – 1 (SO)	St. Pete Times Forum	16212	21–20–10	52
52	January 27	Montreal Canadiens	3 – 0	St. Pete Times Forum	14404	22–20–10	54
53	January 29	Anaheim Ducks	2 – 1 (SO)	St. Pete Times Forum	15230	22–20–11	55
