Place	Player	Country	Score	To par
1	Ben Hogan	United States	70-69-66=205	–11
2	Ed Oliver	United States	69-73-67=209	–7
3	Bob Hamilton	United States	71-69-70=210	–6
4	Chick Harbert	United States	68-73-70=211	–5
5	Lloyd Mangrum	United States	74-68-71=213	–3
T6	Al Besselink	United States	69-75-70=214	–2
T6	Tommy Bolt	United States	71-75-68=214	–2
T6	Ted Kroll	United States	71-70-73=214	–2
9	Chandler Harper	United States	74-72-69=215	–1
T10	Jack Burke, Jr.	United States	78-69-69=216	E
T10	Leland Gibson	United States	73-71-72=216	E
T10	Dick Mayer	United States	73-72-71=216	E
T10	Dick Metz	United States	73-72-71=216	E
T10	Frank Stranahan (a)	United States	72-75-69=216	E
T10	Harvie Ward (a)	United States	73-74-69=216	E
