Game	Date	Opponent	Score	Record
55	2/2/1974	Houston Rockets	117 - 107	24 - 31
56	2/3/1974	at Houston Rockets	112 - 123	24 - 32
57	2/5/1974	Capital Bullets	121 - 103	25 - 32
58	2/6/1974	Los Angeles Lakers	107 - 103	26 - 32
59	2/8/1974	at Philadelphia 76ers	84 - 104	26 - 33
60	2/9/1974	Cleveland Cavaliers	99 - 90	27 - 33
61	2/11/1974	Philadelphia 76ers	95 - 116	27 - 34
62	2/14/1974	at Golden State Warriors	105 - 121	27 - 35
63	2/16/1974	at Phoenix Suns	123 - 124	27 - 36
64	2/17/1974	at Los Angeles Lakers	113 - 110	28 - 36
65	2/20/1974	at Milwaukee Bucks	94 - 110	28 - 37
66	2/23/1974	at New York Knicks	90 - 98	28 - 38
67	2/24/1974	at Boston Celtics	96 - 111	28 - 39
68	2/27/1974	Kansas City Kings	76 - 85	28 - 40
