Season	Club	League	Apps	Goals
2001-02	Marila Příbram	Gambrinus liga	19	0
2001-02	Slovan Liberec	Gambrinus liga	2	0
2002-03	Slovan Liberec	Gambrinus liga	23	1
2003-04	Slovan Liberec	Gambrinus liga	23	4
2004-05	Slovan Liberec	Gambrinus liga	28	7
2005-06	Sparta Prague	Gambrinus liga	16	2
2006-07	Sparta Prague	Gambrinus liga	0	0
2007-08	Sparta Prague	Gambrinus liga	24	12
2008-09	Sparta Prague	Gambrinus liga	15	5
2008-09	Dinamo Zagreb	Prva HNL	9	6
2009-10	Dinamo Zagreb	Prva HNL	15	4
2010-11	Dinamo Zagreb	Prva HNL	3	1
2011-12	Sparta Prague	Gambrinus liga	7	2
