Name	#	Position	Height	Weight	Year	Home Town	High School
Ron Baxter	12	Guard-Forward	6–4	205	Sophomore	Los Angeles, CA	Dorsey
Brent Boyd	4	Guard	6–3	185	Sophomore	Baton Rouge, LA	Catholic University
Tyrone Brayan	31	Forward	6–7	220	Junior	Placentia, CA	El Dorado
Rob Cunningham	35	Forward-Center	6–8	215	Freshman	Westport, CT	Staples
John Danks	32	Forward	6–6	190	Sophomore	Beaver Dam, KY	Ohio County
Ovie Dotson	15	Guard	6–5	200	Junior	San Antonio, TX	Sam Houston
Gary Goodner	42	Forward	6–7	220	Senior	Denton, TX	Denton
Henry Johnson	33	Forward	6–6	190	Freshman	Los Angeles, CA	Manual Arts
Jim Krivacs	11	Guard	6–1	160	Junior	Indianapolis, IN	Southport
John Moore	0	Guard	6–1	170	Junior	Altoona, PA	Altoona
Mike Murphy	41	Forward	6–8	215	Senior	Austin, TX	Crockett
Tom Nichols	55	Center	6–10	230	Senior	Houston, TX	Sharpstown
Dave Shepard	44	Guard	6–4	205	Freshman	Los Angeles, CA	Manual Arts
Keith Stephens	52	Forward	6–8	210	Freshman	Pasadena, CA	Pasadena
