Municipality	Shire	Population	Area in km 2	Density in inhab\km 2	Distance to San Sebastians city centre in km
Donostia-San Sebastian	Donostialdea	183308	60.89	3,006.9	0
Irun	Bidasoa-Txingudi	60261	42.40	1,421.25	16.5
Errenteria	Donostialdea	38336	32.26	1,188.34	6.8
Hernani	Donostialdea	19138	39.82	480.61	6
Lasarte-Oria	Donostialdea	17647	6.01	2,936.27	6.5
Pasaia	Donostialdea	16091	11.34	1,418.96	4
Hondarribia	Bidasoa-Txingudi	16073	28.63	561.4	17.5
Andoain	Donostialdea	14215	27.17	523.19	11.5
Hendaye	Arrondissement of Bayonne ( France )	12596	8	1,574.5	18
Oiartzun	Donostialdea	9806	59.71	164.23	10.5
Urnieta	Donostialdea	5998	22.4	267.77	8
Lezo	Donostialdea	5912	8.59	688.24	10.5
Usurbil	Donostialdea	5718	25.64	223.01	7.6
