Year	Driver	Constructor	Location	Report
1978	Niki Lauda	Brabham - Alfa Romeo	Anderstorp	Report
1977	Jacques Laffite	Ligier - Matra	Anderstorp	Report
1976	Jody Scheckter	Tyrrell - Ford	Anderstorp	Report
1975	Niki Lauda	Ferrari	Anderstorp	Report
1974	Jody Scheckter	Tyrrell - Ford	Anderstorp	Report
1973	Denny Hulme	McLaren - Ford	Anderstorp	Report
1972 - 1968	Not held	Not held	Not held	Not held
1967	Jackie Stewart	Matra - Cosworth	Karlskoga	Report
1966 - 1958	Not held	Not held	Not held	Not held
1957	Jean Behra Stirling Moss	Maserati	Kristianstad	Report
1956	Phil Hill Maurice Trintignant	Ferrari	Kristianstad	Report
1955 - 1954	Not held	Not held	Not held	Not held
1953	Erik Lundgren	EL Special	Skarpnäck	Report
1952	Gunnar Carlsson	Mercury Ardun Special	Skarpnäck	Report
1951 - 1950	Not held	Not held	Not held	Not held
1949	B. Bira	Maserati	Skarpnäck	Report
1948 - 1934	Not held	Not held	Not held	Not held
1933	Antonio Brivio	Alfa Romeo	Norra Vram	Report
