Year	Finals Venue	Location	Pageant Date	Number of Delegates
2001	University of the Philippines Theater	Quezon City , Philippines	Oct. 28	42
2002	Folk Arts Theater	Pasay City , Philippines	Oct. 29	53
2003	University of the Philippines Theater	Quezon City , Philippines	Nov. 9	57
2004	University of the Philippines Theater	Quezon City , Philippines	Oct. 24	61
2005	University of the Philippines Theater	Quezon City , Philippines	Oct. 23	80
2006	Museum of the Filipino People	Manila , Philippines	Nov. 26	82
2007	University of the Philippines Theater	Quezon City , Philippines	Nov. 11	88
2008	Clark Expo Amphitheater	Angeles City , Philippines	Nov. 9	85
2009	Boracay Convention Center	Boracay , Philippines	Nov. 22	80
2010	Vinpearl Amphitheater	Nha Trang , Vietnam	Dec. 4	84
2011	University of the Philippines Theater	Quezon City , Philippines	Dec. 3	84
2012	Versailles Palace	Muntinlupa City , Philippines	Nov. 24	80
2013	SM Mall of Asia Arena	Pasay City , Philippines	Dec. 7	TBD
