Name	Location	Field	Capacity (MW)	Annual Generation (average GWh)	Commissioned
Kawerau (BoPE)	Kawerau , Bay of Plenty	Kawerau	6.3	35	1989, 1993
Kawerau (kA24)	Kawerau, Bay of Plenty	Kawerau	8.3	70	2008
Kawerau (MRP)	Kawerau, Bay of Plenty	Kawerau	100	800	2008
Mokai	northwest of Taupo	Mokai	112	900	2000
Nga Awa Purua	north of Taupo	Rotokawa	140	1100	2010
Ngatamariki	north of Taupo	Ngatamariki	82	600 (approx)	2013
Ngawha	near Kaikohe, Northland	Ngawha	25	78	1998
Ohaaki	between Rotorua and Taupo	Ohaaki	70	400	1989
Poihipi	north of Taupo	Wairakie	55	350	1997
Rotokawa	north of Taupo	Rotokawa	33	210	1997
Te Huka	north of Taupo	Tauhara	23	170 (approx)	2010
Wairakei	north of Taupo	Wairakei	161	1310	1958, 2005
