Date	Tournament	Winning score	Margin of victory	Runner(s)-up
11 Jun 1977	Martini International	–15 (70-71-70-66=277)	3 strokes	Simon Hobday
28 May 1979	Martini International	E (75-67-72-74=288)	1 stroke	Antonio Garrido , John Morgan
11 May 1980	Paco Rabanne Open de France	–20 (67-66-68-67=268)	10 strokes	Ian Mosey
6 Jul 1980	Scandinavian Enterprise Open	–12 (76-66-70-64=276)	3 strokes	Mark James
17 May 1981	Martini International	–1 (71-72-72-72=287)	1 stroke	Bernhard Langer
31 May 1981	Dunlop Masters	–15 (72-68-66-67=273)	4 strokes	Graham Marsh
13 Jun 1982	Dunlop Masters	–17 (68-69-65-65=267)	8 strokes	Bernhard Langer
10 Jul 1982	State Express English Classic	–13 (70-70-70-69=279)	1 stroke	Brian Marchbank
22 Aug 1982	Benson & Hedges International Open	–5 (69-74-69-71=283)	1 stroke	Bob Charles , Graham Marsh , Ian Woosnam
20 Jul 1986	The Open Championship	E (74-63-74-69=280)	5 strokes	Gordon J Brand
14 Sep 1986	Panasonic European Open	–11 (67-67-69-66=269)	1 stroke	Ken Brown
22 May 1988	Lancia Italian Open	–18 (69-68-63-70=270)	1 stroke	Craig Parry
18 Jul 1993	The Open Championship	–13 (66-68-69-64=267)	2 strokes	Nick Faldo
6 Feb 1994	Johnnie Walker Classic	–11 (75-70-64-68=277)	1 stroke	Fred Couples
