Player	Nationality	Position	Years in Orlando	School/Club Team
Tariq Abdul-Wahad	France	Forward	1999–2000	San José State
Arron Afflalo	United States	Guard	2012–present	UCLA
Mark Acres	United States	Center	1989–1992	Oral Roberts
Cory Alexander	United States	Guard	2000–2001	Virginia
Malik Allen	United States	Forward	2010-2011	Villanova
Rafer Alston	United States	Guard	2009	Fresno State
John Amaechi	England	Forward-Center	1999–2001	Penn State
Nick Anderson	United States	Guard	1989–1999	Illinois
Ryan Anderson	United States	Forward-Center	2009–2012	California
Michael Ansley	United States	Forward	1989–1991	Alabama
Robert Archibald	Scotland	Forward-Center	2003	Illinois
Gilbert Arenas	United States	Guard	2010-2011	Arizona
Trevor Ariza	United States	Forward	2006–2007	UCLA
B. J. Armstrong	United States	Guard	1998–1999	Iowa
Darrell Armstrong	United States	Guard	1994–2003	Fayetteville State
Carlos Arroyo	Puerto Rico	Guard	2006–2008	Florida International
Chucky Atkins	United States	Guard	1999–2000	South Florida
Stacey Augmon	United States	Forward	2004–2006	UNLV
James Augustine	United States	Forward	2006–2008	Illinois
Isaac Austin	United States	Center	1998–1999	Arizona State
Anthony Avent	United States	Forward	1993–1995	Seton Hall
Gustavo Ayon	Mexico	Forward	2012–2013	Universidad Popular Autónoma
