Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1989 (62nd)	Don't Let Them Shoot the Kite	Uçurtmayı Vurmasınlar	Tunç Başaran Category:Articles with hCards	Not Nominated
1992 (65th)	Piano Piano Kid	Piyano Piyano Bacaksız	Tunç Başaran Category:Articles with hCards	Not Nominated
1993 (66th)	The Blue Exile	Mavi Sürgün	Erden Kıral Category:Articles with hCards	Not Nominated
1994 (67th)	Tarzan of Manisa	Manisa Tarzanı	Orhan Oğuz Category:Articles with hCards	Not Nominated
1997 (70th)	The Bandit	Eşkıya	Yavuz Turgul Category:Articles with hCards	Not Nominated
1999 (72nd)	Mrs. Salkım's Diamonds	Salkım Hanımın Taneleri	Tomris Giritlioğlu Category:Articles with hCards	Not Nominated
2000 (73rd)	Run for Money	Kaç Para Kaç	Reha Erdem Category:Articles with hCards	Not Nominated
2001 (74th)	Hejar	Büyük Adam Küçük Aşk	Handan İpekçi Category:Articles with hCards	Not Nominated
2002 (75th)	9	9	Ümit Ünal Category:Articles with hCards	Not Nominated
2003 (76th)	Distant	Uzak	Nuri Bilge Ceylan Category:Articles with hCards	Not Nominated
2005 (78th)	Lovelorn	Gönül Yarası	Yavuz Turgul Category:Articles with hCards	Not Nominated
2006 (79th)	Ice Cream, I Scream	Dondurmam Gaymak	Yüksel Aksu Category:Articles with hCards	Not Nominated
2007 (80th)	A Man's Fear of God	Takva	Özer Kızıltan Category:Articles with hCards	Not Nominated
2008 (81st)	Three Monkeys	Üç Maymun	Nuri Bilge Ceylan Category:Articles with hCards	Made January Shortlist
2009 (82nd)	I Saw the Sun	Güneşi Gördüm	Mahsun Kırmızıgül Category:Articles with hCards	Not Nominated
2010 (83rd)	Honey	Bal	Semih Kaplanoğlu Category:Articles with hCards	Not Nominated
2011 (84th)	Once Upon a Time in Anatolia	Bir zamanlar Anadolu'da	Nuri Bilge Ceylan Category:Articles with hCards	Not Nominated
2012 (85th)	Where the Fire Burns	Ateşin Düştüğü Yer	İsmail Güneş Category:Articles with hCards	Not Nominated
