Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	15-8	Clay Collard	Decision (split)	Showdown Fights - Buchholz vs. Collard 2	5	5:00	Orem, Utah , United States
Win	15-7	Gordon Bell	KO (punch)	Showdown Fights - Buchholz vs. Bell	1	2:06	Orem, Utah , United States
Win	14-7	David Castillo	TKO (punches)	Showdown Fights - Buchholz vs. Castillo	3	3:29	Orem, Utah , United States
Win	13-7	Clay Collard	Submission (guillotine choke)	Showdown Fights - Burkman vs. Yager	3	1:35	Orem, Utah , United States
Loss	12-7	John Gunderson	Submission (kimura)	Superior Cage Combat 4	3	2:34	Las Vegas, Nevada , United States
Win	12-6	Thiago Meller	Decision (unanimous)	Superior Cage Combat 2	3	5:00	Las Vegas, Nevada , United States
Win	11-6	Steve Lopez	KO (front kick)	Superior Cage Combat 1	3	4:30	Las Vegas, Nevada , United States
Win	10-6	Steve Sharp	Submission (rear naked choke)	Showdown Fights - Shootout	1	3:38	Orem, Utah , United States
Loss	9-6	Jason Meaders	TKO (cut)	MEZ Sports - Pandemonium 4	1	3:00	Riverside, California , United States
Loss	9-5	Mac Danzig	Decision (unanimous)	UFC 109	3	5:00	Las Vegas, Nevada , United States
Loss	9-4	Jeremy Stephens	TKO (cut)	UFC Fight Night: Diaz vs. Guillard	1	3:23	Oklahoma City, Oklahoma , United States
Loss	9-3	Terry Etim	Submission (d'arce choke)	UFC 99	2	2:38	Cologne , Germany
Win	9-2	Corey Hill	Submission (rear naked choke)	UFC 86	2	3:57	Las Vegas, Nevada , United States
Loss	8-2	Matt Wiman	Submission (rear naked choke)	UFC Fight Night 12	1	2:56	Las Vegas, Nevada , United States
Win	8-1	Ikaika Choy-Fu	TKO (punches)	EliteXC: Uprising	1	1:35	Honolulu, Hawaii , United States
Win	7-1	Marshall Harvest	KO (punch)	Icon Sport - Epic	1	0:31	Honolulu, Hawaii , United States
Win	6-1	Brandon Pieper	TKO (punches)	Icon Sport - All In	1	1:07	Honolulu, Hawaii , United States
Win	5-1	Arto Woods	Submission (triangle choke)	ROTR - Beatdown 2	1	2:34	Hilo, Hawaii , United States
Win	4-1	Matt Peter	KO (punch)	Desert Brawl - Bikes, Babes, Brawls	1	2:50	Fairbanks, Alaska , United States
Loss	3-1	Rodney Rhoden	TKO (referee stoppage)	AFC 22 - Alaska Fighting Championship	1	2:33	Anchorage, Alaska , United States
Win	3-0	Bo Underwood	DQ (lllegal kick)	AFC 12 - Alaska Fighting Championship	1	N/A	Anchorage, Alaska , United States
Win	2-0	Jimmy Gainey	Submission (triangle choke)	AFC 9 - Alaska Fighting Championship	2	N/A	Anchorage, Alaska , United States
Win	1-0	Andy Garnand	Submission	AFC 8 - Alaska Fighting Championship	1	N/A	Anchorage, Alaska , United States
