Driver	Seasons	Entries	Poles	Percentage
Michael Schumacher	1991 – 2006 , 2010 – 2012	308	68	22.08%
Ayrton Senna	1984 – 1994	162	65	40.12%
Sebastian Vettel	2007 – 2013	118	43	36.44%
Jim Clark	1960 – 1968	73	33	45.21%
Alain Prost	1980 – 1991 , 1993	202	33	16.34%
Nigel Mansell	1980 – 1992 , 1994 – 1995	191	32	16.75%
Lewis Hamilton	2007 – 2013	127	31	24.41%
Juan Manuel Fangio	1950 – 1951 , 1953 – 1958	52	29	55.77%
Mika Häkkinen	1991 – 2001	165	26	15.76%
Niki Lauda	1971 – 1979 , 1982 – 1985	177	24	13.56%
Nelson Piquet	1978 – 1991	207	24	11.59%
